experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"egypt_cloudflare","shahidlive.co","https://shahidlive.co/",0,"shahidlive.co_0",1616894705700,420,"3/27/2021, 6:25:05 PM","[""127.0.0.53""]","success",1,"[""212.179.121.131""]","success",1,"[""212.179.121.131""]","[""212.179.121.131""]",0,"net::ERR_CONNECTION_RESET at https://shahidlive.co/"
1,0,"egypt_cloudflare","katib.net","https://katib.net/",0,"katib.net_0",1616894724752,420,"3/27/2021, 6:25:24 PM","[""127.0.0.53""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",0,"net::ERR_CONNECTION_RESET at https://katib.net/"
2,0,"egypt_cloudflare","dailysabah.com","https://www.dailysabah.com/",0,"dailysabah.com_0",1616894734602,420,"3/27/2021, 6:25:34 PM","[""127.0.0.53""]","success",1,"[""194.36.160.50""]","success",1,"[""194.36.160.15""]","[""194.36.160.50"",""194.36.160.15""]",0,"net::ERR_CONNECTION_RESET at https://www.dailysabah.com/"
3,0,"egypt_cloudflare","avert.org","http://www.avert.org/",0,"avert.org_0",1616894743259,420,"3/27/2021, 6:25:43 PM","[""127.0.0.53""]","success",1,"[""172.67.71.72"",""104.26.9.235"",""104.26.8.235""]","success",1,"[""104.26.9.235"",""104.26.8.235"",""172.67.71.72""]","[""172.67.71.72"",""104.26.9.235"",""104.26.8.235""]",1,"success"
4,0,"egypt_cloudflare","proxylisty.com","http://proxylisty.com/",0,"proxylisty.com_0",1616894757233,420,"3/27/2021, 6:25:57 PM","[""127.0.0.53""]","success",1,"[""45.77.186.199""]","success",1,"[""45.77.186.199""]","[""45.77.186.199""]",1,"success"
5,0,"egypt_cloudflare","aljazeera.net","http://www.aljazeera.net",0,"aljazeera.net_0",1616894769428,420,"3/27/2021, 6:26:09 PM","[""127.0.0.53""]","queryA ENODATA aljazeera.net",0,"[]","success",1,"[""3.137.85.135"",""3.13.222.135"",""3.13.128.62""]","[""3.137.85.135"",""3.13.222.135"",""3.13.128.62""]",0,"net::ERR_NAME_NOT_RESOLVED at http://www.aljazeera.net"
6,0,"egypt_cloudflare","bypasstool.gq","http://www.bypasstool.gq",0,"bypasstool.gq_0",1616894787781,420,"3/27/2021, 6:26:27 PM","[""127.0.0.53""]","success",1,"[""195.20.50.134""]","success",1,"[""195.20.50.134""]","[""195.20.50.134""]",0,"net::ERR_ADDRESS_UNREACHABLE at http://www.bypasstool.gq"
7,0,"egypt_cloudflare","studies.aljazeera.net","http://studies.aljazeera.net/",0,"studies.aljazeera.net_0",1616894796230,420,"3/27/2021, 6:26:36 PM","[""127.0.0.53""]","queryA ENODATA studies.aljazeera.net",0,"[]","success",1,"[""23.60.215.128""]","[""23.60.215.128""]",0,"net::ERR_NAME_NOT_RESOLVED at http://studies.aljazeera.net/"
8,0,"egypt_cloudflare","egybest.pw","http://egybest.pw",0,"egybest.pw_0",1616894805486,420,"3/27/2021, 6:26:45 PM","[""127.0.0.53""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","[""104.21.8.181"",""172.67.157.163""]",0,"net::ERR_CONNECTION_RESET at http://egybest.pw"
9,0,"egypt_cloudflare","payu.in","http://payu.in",0,"payu.in_0",1616894813927,420,"3/27/2021, 6:26:53 PM","[""127.0.0.53""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","success",1,"[""13.232.230.23"",""65.1.34.99""]","[""65.1.34.99"",""13.232.230.23""]",1,"success"
10,0,"egypt_cloudflare","tejaratnews.com","http://tejaratnews.com",0,"tejaratnews.com_0",1616894828307,420,"3/27/2021, 6:27:08 PM","[""127.0.0.53""]","success",1,"[""185.129.169.84""]","success",1,"[""185.129.169.84""]","[""185.129.169.84""]",1,"success"
11,0,"egypt_cloudflare","al-watan.com","http://al-watan.com/",0,"al-watan.com_0",1616894842636,420,"3/27/2021, 6:27:22 PM","[""127.0.0.53""]","success",1,"[""80.76.165.99""]","success",1,"[""80.76.165.99""]","[""80.76.165.99""]",0,"Navigation timeout of 60000 ms exceeded"
12,0,"egypt_cloudflare","raya.com","https://www.raya.com/portal",0,"raya.com_0",1616894912109,420,"3/27/2021, 6:28:32 PM","[""127.0.0.53""]","success",1,"[""172.67.74.185"",""104.26.11.92"",""104.26.10.92""]","success",1,"[""172.67.74.185"",""104.26.10.92"",""104.26.11.92""]","[""172.67.74.185"",""104.26.11.92"",""104.26.10.92""]",0,"net::ERR_CONNECTION_RESET at https://www.raya.com/portal"
13,0,"egypt_cloudflare","raya.com","https://www.raya.com/",1,"raya.com_1",1616894927613,420,"3/27/2021, 6:28:47 PM","[""127.0.0.53""]","success",1,"[""104.26.10.92"",""104.26.11.92"",""172.67.74.185""]","success",1,"[""104.26.10.92"",""172.67.74.185"",""104.26.11.92""]","[""104.26.10.92"",""104.26.11.92"",""172.67.74.185""]",0,"net::ERR_CONNECTION_RESET at https://www.raya.com/"
14,0,"egypt_cloudflare","sasapost.com","https://sasapost.com/",0,"sasapost.com_0",1616894936305,420,"3/27/2021, 6:28:56 PM","[""127.0.0.53""]","success",1,"[""172.67.140.243"",""104.21.27.29""]","success",1,"[""104.21.27.29"",""172.67.140.243""]","[""172.67.140.243"",""104.21.27.29""]",0,"net::ERR_CONNECTION_RESET at https://sasapost.com/"
15,0,"egypt_cloudflare","yanairgate.net","http://yanairgate.net/",0,"yanairgate.net_0",1616894945118,420,"3/27/2021, 6:29:05 PM","[""127.0.0.53""]","queryA ENODATA yanairgate.net",0,"[]","success",1,"[""3.13.31.214""]","[""3.13.31.214""]",0,"net::ERR_NAME_NOT_RESOLVED at http://yanairgate.net/"
16,0,"egypt_cloudflare","akproxy.gq","http://www.akproxy.gq",0,"akproxy.gq_0",1616894953492,420,"3/27/2021, 6:29:13 PM","[""127.0.0.53""]","success",1,"[""195.20.52.148""]","success",1,"[""195.20.52.148""]","[""195.20.52.148""]",1,"success"
17,0,"egypt_cloudflare","ikhwanonline.com","http://www.ikhwanonline.com",0,"ikhwanonline.com_0",1616894967444,420,"3/27/2021, 6:29:27 PM","[""127.0.0.53""]","queryA ENODATA ikhwanonline.com",0,"[]","success",1,"[""104.21.88.190"",""172.67.152.47""]","[""104.21.88.190"",""172.67.152.47""]",0,"net::ERR_NAME_NOT_RESOLVED at http://www.ikhwanonline.com"
18,0,"egypt_cloudflare","de.lirio.us","http://de.lirio.us/",0,"de.lirio.us_0",1616894976013,420,"3/27/2021, 6:29:36 PM","[""127.0.0.53""]","success",1,"[""185.107.56.52""]","success",1,"[""192.157.56.142""]","[""185.107.56.52"",""192.157.56.142""]",1,"success"
19,0,"egypt_cloudflare","al-akhbar.com","https://al-akhbar.com/",0,"al-akhbar.com_0",1616894988040,420,"3/27/2021, 6:29:48 PM","[""127.0.0.53""]","queryA ENODATA al-akhbar.com",0,"[]","success",1,"[""104.26.3.184"",""172.67.75.16"",""104.26.2.184""]","[""104.26.3.184"",""172.67.75.16"",""104.26.2.184""]",0,"net::ERR_NAME_NOT_RESOLVED at https://al-akhbar.com/"
20,0,"egypt_cloudflare","ipvanish.com","https://www.ipvanish.com/",0,"ipvanish.com_0",1616894995809,420,"3/27/2021, 6:29:55 PM","[""127.0.0.53""]","success",1,"[""151.101.66.133"",""151.101.130.133"",""151.101.194.133"",""151.101.2.133""]","success",1,"[""151.101.130.133"",""151.101.194.133"",""151.101.2.133"",""151.101.66.133""]","[""151.101.66.133"",""151.101.130.133"",""151.101.194.133"",""151.101.2.133""]",0,"net::ERR_TIMED_OUT at https://www.ipvanish.com/"
21,0,"egypt_cloudflare","ampproject.org","https://www.ampproject.org/",0,"ampproject.org_0",1616895035219,420,"3/27/2021, 6:30:35 PM","[""127.0.0.53""]","success",1,"[""216.58.212.110""]","success",1,"[""172.217.171.206""]","[""216.58.212.110"",""172.217.171.206""]",0,"net::ERR_TIMED_OUT at https://www.ampproject.org/"
22,0,"egypt_cloudflare","thenewkhalij.org","http://thenewkhalij.org",0,"thenewkhalij.org_0",1616895073427,420,"3/27/2021, 6:31:13 PM","[""127.0.0.53""]","success",1,"[""172.67.211.234"",""104.21.77.219""]","success",1,"[""172.67.211.234"",""104.21.77.219""]","[""172.67.211.234"",""104.21.77.219""]",0,"net::ERR_CONNECTION_RESET at http://thenewkhalij.org"
23,0,"egypt_cloudflare","shadowsocks.org","https://shadowsocks.org/",0,"shadowsocks.org_0",1616895082320,420,"3/27/2021, 6:31:22 PM","[""127.0.0.53""]","success",1,"[""172.67.195.168"",""104.21.21.10""]","success",1,"[""172.67.195.168"",""104.21.21.10""]","[""172.67.195.168"",""104.21.21.10""]",0,"net::ERR_CONNECTION_RESET at https://shadowsocks.org/"
24,0,"egypt_cloudflare","masr11.com","https://www.masr11.com/",0,"masr11.com_0",1616895091610,420,"3/27/2021, 6:31:31 PM","[""127.0.0.53""]","success",1,"[""104.21.55.125"",""172.67.148.28""]","success",1,"[""104.21.55.125"",""172.67.148.28""]","[""104.21.55.125"",""172.67.148.28""]",0,"net::ERR_CONNECTION_RESET at https://www.masr11.com/"
25,0,"egypt_cloudflare","cencos.org","http://cencos.org/",0,"cencos.org_0",1616895100437,420,"3/27/2021, 6:31:40 PM","[""127.0.0.53""]","success",1,"[""159.203.8.241""]","success",1,"[""159.203.8.241""]","[""159.203.8.241""]",0,"net::ERR_CONNECTION_REFUSED at http://cencos.org/"
26,0,"egypt_cloudflare","us-proxy.org","http://www.us-proxy.org",0,"us-proxy.org_0",1616895109463,420,"3/27/2021, 6:31:49 PM","[""127.0.0.53""]","success",1,"[""172.67.157.210"",""104.21.8.194""]","success",1,"[""104.21.8.194"",""172.67.157.210""]","[""172.67.157.210"",""104.21.8.194""]",1,"success"
27,0,"egypt_cloudflare","fj-p.com","http://www.fj-p.com",0,"fj-p.com_0",1616895123820,420,"3/27/2021, 6:32:03 PM","[""127.0.0.53""]","queryA ENODATA fj-p.com",0,"[]","success",1,"[""172.67.201.15"",""104.21.76.210""]","[""172.67.201.15"",""104.21.76.210""]",0,"net::ERR_NAME_NOT_RESOLVED at http://www.fj-p.com"
28,0,"egypt_cloudflare","tunnelbear.com","https://www.tunnelbear.com/",0,"tunnelbear.com_0",1616895133214,420,"3/27/2021, 6:32:13 PM","[""127.0.0.53""]","success",1,"[""104.17.155.236"",""104.17.154.236""]","success",1,"[""104.17.154.236"",""104.17.155.236""]","[""104.17.155.236"",""104.17.154.236""]",0,"net::ERR_TIMED_OUT at https://www.tunnelbear.com/"
29,0,"egypt_cloudflare","medium.com","https://medium.com/",0,"medium.com_0",1616895172927,420,"3/27/2021, 6:32:52 PM","[""127.0.0.53""]","success",1,"[""162.159.152.4"",""162.159.153.4""]","success",1,"[""162.159.153.4"",""162.159.152.4""]","[""162.159.152.4"",""162.159.153.4""]",0,"net::ERR_CONNECTION_RESET at https://medium.com/"
30,0,"egypt_cloudflare","anhri.net","https://anhri.net/",0,"anhri.net_0",1616895180472,420,"3/27/2021, 6:33:00 PM","[""127.0.0.53""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",0,"net::ERR_CONNECTION_RESET at https://anhri.net/"
