experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"egypt_cloudflare_new","shahidlive.co","https://shahidlive.co/",0,"shahidlive.co_0",1616932971324,420,"3/28/2021, 5:02:51 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""212.179.121.131""]","success",1,"[""212.179.121.131""]","[""212.179.121.131""]",0,"net::ERR_CONNECTION_RESET at https://shahidlive.co/"
1,0,"egypt_cloudflare_new","katib.net","https://katib.net/",0,"katib.net_0",1616932997474,420,"3/28/2021, 5:03:17 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",0,"net::ERR_CONNECTION_RESET at https://katib.net/"
2,0,"egypt_cloudflare_new","dailysabah.com","https://www.dailysabah.com/",0,"dailysabah.com_0",1616933006116,420,"3/28/2021, 5:03:26 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""194.36.160.50""]","success",1,"[""194.36.160.50""]","[""194.36.160.50""]",0,"net::ERR_CONNECTION_RESET at https://www.dailysabah.com/"
3,0,"egypt_cloudflare_new","avert.org","http://www.avert.org/",0,"avert.org_0",1616933014046,420,"3/28/2021, 5:03:34 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""104.26.8.235"",""104.26.9.235"",""172.67.71.72""]","success",1,"[""104.26.9.235"",""172.67.71.72"",""104.26.8.235""]","[""104.26.8.235"",""104.26.9.235"",""172.67.71.72""]",1,"success"
4,0,"egypt_cloudflare_new","proxylisty.com","http://proxylisty.com/",0,"proxylisty.com_0",1616933027476,420,"3/28/2021, 5:03:47 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""45.77.186.199""]","success",1,"[""45.77.186.199""]","[""45.77.186.199""]",1,"success"
5,0,"egypt_cloudflare_new","aljazeera.net","http://www.aljazeera.net",0,"aljazeera.net_0",1616933040108,420,"3/28/2021, 5:04:00 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""3.137.85.135"",""3.13.222.135"",""3.13.128.62""]","success",1,"[""3.13.128.62"",""3.137.85.135"",""3.13.222.135""]","[""3.137.85.135"",""3.13.222.135"",""3.13.128.62""]",0,"net::ERR_CONNECTION_RESET at http://www.aljazeera.net"
6,0,"egypt_cloudflare_new","bypasstool.gq","http://www.bypasstool.gq",0,"bypasstool.gq_0",1616933049240,420,"3/28/2021, 5:04:09 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""195.20.50.134""]","success",1,"[""195.20.50.134""]","[""195.20.50.134""]",1,"success"
7,0,"egypt_cloudflare_new","studies.aljazeera.net","http://studies.aljazeera.net/",0,"studies.aljazeera.net_0",1616933059429,420,"3/28/2021, 5:04:19 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""23.60.215.128""]","success",1,"[""23.60.215.128""]","[""23.60.215.128""]",0,"net::ERR_CONNECTION_RESET at http://studies.aljazeera.net/"
8,0,"egypt_cloudflare_new","egybest.pw","http://egybest.pw",0,"egybest.pw_0",1616933069243,420,"3/28/2021, 5:04:29 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","[""104.21.8.181"",""172.67.157.163""]",0,"net::ERR_CONNECTION_RESET at http://egybest.pw"
9,0,"egypt_cloudflare_new","payu.in","http://payu.in",0,"payu.in_0",1616933079307,420,"3/28/2021, 5:04:39 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","[""65.1.34.99"",""13.232.230.23""]",1,"success"
10,0,"egypt_cloudflare_new","tejaratnews.com","http://tejaratnews.com",0,"tejaratnews.com_0",1616933093800,420,"3/28/2021, 5:04:53 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""185.129.169.84""]","success",1,"[""185.129.169.84""]","[""185.129.169.84""]",1,"success"
11,0,"egypt_cloudflare_new","al-watan.com","http://al-watan.com/",0,"al-watan.com_0",1616933108027,420,"3/28/2021, 5:05:08 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""80.76.165.99""]","success",1,"[""80.76.165.99""]","[""80.76.165.99""]",0,"Navigation timeout of 60000 ms exceeded"
12,0,"egypt_cloudflare_new","raya.com","https://www.raya.com/portal",0,"raya.com_0",1616933177054,420,"3/28/2021, 5:06:17 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""172.67.74.185"",""104.26.11.92"",""104.26.10.92""]","success",1,"[""104.26.11.92"",""104.26.10.92"",""172.67.74.185""]","[""172.67.74.185"",""104.26.11.92"",""104.26.10.92""]",0,"net::ERR_CONNECTION_RESET at https://www.raya.com/portal"
13,0,"egypt_cloudflare_new","raya.com","https://www.raya.com/",1,"raya.com_1",1616933185501,420,"3/28/2021, 5:06:25 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""172.67.74.185"",""104.26.10.92"",""104.26.11.92""]","success",1,"[""104.26.11.92"",""172.67.74.185"",""104.26.10.92""]","[""172.67.74.185"",""104.26.10.92"",""104.26.11.92""]",0,"net::ERR_CONNECTION_RESET at https://www.raya.com/"
14,0,"egypt_cloudflare_new","sasapost.com","https://sasapost.com/",0,"sasapost.com_0",1616933193874,420,"3/28/2021, 5:06:33 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""172.67.140.243"",""104.21.27.29""]","success",1,"[""172.67.140.243"",""104.21.27.29""]","[""172.67.140.243"",""104.21.27.29""]",0,"net::ERR_CONNECTION_RESET at https://sasapost.com/"
