experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"egypt_control_sample_bridged","shahidlive.co","https://shahidlive.co/",0,"shahidlive.co_0",1616721175878,-120,"3/26/2021, 3:12:55 AM","[""127.0.0.53""]","success",1,"[""212.179.121.131""]","success",1,"[""212.179.121.131""]","[""212.179.121.131""]",0,"net::ERR_CONNECTION_RESET at https://shahidlive.co/"
1,0,"egypt_control_sample_bridged","katib.net","https://katib.net/",0,"katib.net_0",1616721188286,-120,"3/26/2021, 3:13:08 AM","[""127.0.0.53""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",0,"net::ERR_CONNECTION_RESET at https://katib.net/"
2,0,"egypt_control_sample_bridged","dailysabah.com","https://www.dailysabah.com/",0,"dailysabah.com_0",1616721196456,-120,"3/26/2021, 3:13:16 AM","[""127.0.0.53""]","success",1,"[""194.36.160.50""]","success",1,"[""194.36.160.15""]","[""194.36.160.50"",""194.36.160.15""]",0,"net::ERR_CONNECTION_RESET at https://www.dailysabah.com/"
3,0,"egypt_control_sample_bridged","avert.org","http://www.avert.org/",0,"avert.org_0",1616721204809,-120,"3/26/2021, 3:13:24 AM","[""127.0.0.53""]","success",1,"[""172.67.71.72"",""104.26.9.235"",""104.26.8.235""]","success",1,"[""104.26.9.235"",""172.67.71.72"",""104.26.8.235""]","[""172.67.71.72"",""104.26.9.235"",""104.26.8.235""]",0,"Navigation timeout of 60000 ms exceeded"
4,0,"egypt_control_sample_bridged","proxylisty.com","http://proxylisty.com/",0,"proxylisty.com_0",1616721272540,-120,"3/26/2021, 3:14:32 AM","[""127.0.0.53""]","success",1,"[""45.77.186.199""]","success",1,"[""45.77.186.199""]","[""45.77.186.199""]",1,"success"
5,0,"egypt_control_sample_bridged","aljazeera.net","http://www.aljazeera.net",0,"aljazeera.net_0",1616721284507,-120,"3/26/2021, 3:14:44 AM","[""127.0.0.53""]","queryA ENODATA aljazeera.net",0,"[]","success",1,"[""3.13.222.135"",""3.13.128.62"",""3.137.85.135""]","[""3.13.222.135"",""3.13.128.62"",""3.137.85.135""]",0,"net::ERR_NAME_NOT_RESOLVED at http://www.aljazeera.net"
6,0,"egypt_control_sample_bridged","bypasstool.gq","http://www.bypasstool.gq",0,"bypasstool.gq_0",1616721301499,-120,"3/26/2021, 3:15:01 AM","[""127.0.0.53""]","success",1,"[""195.20.50.134""]","success",1,"[""195.20.50.134""]","[""195.20.50.134""]",1,"success"
7,0,"egypt_control_sample_bridged","studies.aljazeera.net","http://studies.aljazeera.net/",0,"studies.aljazeera.net_0",1616721310330,-120,"3/26/2021, 3:15:10 AM","[""127.0.0.53""]","queryA ENODATA studies.aljazeera.net",0,"[]","success",1,"[""23.60.215.128""]","[""23.60.215.128""]",0,"net::ERR_NAME_NOT_RESOLVED at http://studies.aljazeera.net/"
8,0,"egypt_control_sample_bridged","egybest.pw","http://egybest.pw",0,"egybest.pw_0",1616721317719,-120,"3/26/2021, 3:15:17 AM","[""127.0.0.53""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","success",1,"[""172.67.157.163"",""104.21.8.181""]","[""104.21.8.181"",""172.67.157.163""]",0,"net::ERR_CONNECTION_RESET at http://egybest.pw"
9,0,"egypt_control_sample_bridged","payu.in","http://payu.in",0,"payu.in_0",1616721325729,-120,"3/26/2021, 3:15:25 AM","[""127.0.0.53""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","[""65.1.34.99"",""13.232.230.23""]",1,"success"
