experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"egypt_control_sample_nat","shahidlive.co","https://shahidlive.co/",0,"shahidlive.co_0",1616668399009,-120,"3/25/2021, 12:33:19 PM","[""172.30.48.1""]","success",1,"[""212.179.121.131""]","success",1,"[""212.179.121.131""]","[""212.179.121.131""]",0,"net::ERR_CONNECTION_RESET at https://shahidlive.co/"
1,0,"egypt_control_sample_nat","katib.net","https://katib.net/",0,"katib.net_0",1616668417743,-120,"3/25/2021, 12:33:37 PM","[""172.30.48.1""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",0,"net::ERR_CONNECTION_RESET at https://katib.net/"
2,0,"egypt_control_sample_nat","dailysabah.com","https://www.dailysabah.com/",0,"dailysabah.com_0",1616668426484,-120,"3/25/2021, 12:33:46 PM","[""172.30.48.1""]","success",1,"[""194.36.160.15""]","success",1,"[""194.36.160.15""]","[""194.36.160.15""]",0,"net::ERR_CONNECTION_RESET at https://www.dailysabah.com/"
3,0,"egypt_control_sample_nat","avert.org","http://www.avert.org/",0,"avert.org_0",1616668434100,-120,"3/25/2021, 12:33:54 PM","[""172.30.48.1""]","success",1,"[""172.67.71.72"",""104.26.8.235"",""104.26.9.235""]","success",1,"[""172.67.71.72"",""104.26.9.235"",""104.26.8.235""]","[""172.67.71.72"",""104.26.8.235"",""104.26.9.235""]",1,"success"
4,0,"egypt_control_sample_nat","proxylisty.com","http://proxylisty.com/",0,"proxylisty.com_0",1616668453547,-120,"3/25/2021, 12:34:13 PM","[""172.30.48.1""]","success",1,"[""45.77.186.199""]","success",1,"[""45.77.186.199""]","[""45.77.186.199""]",1,"success"
5,0,"egypt_control_sample_nat","aljazeera.net","http://www.aljazeera.net",0,"aljazeera.net_0",1616668465740,-120,"3/25/2021, 12:34:25 PM","[""172.30.48.1""]","queryA ENODATA aljazeera.net",0,"[]","success",1,"[""13.49.103.61"",""13.48.205.10"",""13.53.128.5""]","[""13.49.103.61"",""13.48.205.10"",""13.53.128.5""]",0,"net::ERR_NAME_NOT_RESOLVED at http://www.aljazeera.net"
6,0,"egypt_control_sample_nat","bypasstool.gq","http://www.bypasstool.gq",0,"bypasstool.gq_0",1616668483806,-120,"3/25/2021, 12:34:43 PM","[""172.30.48.1""]","success",1,"[""195.20.50.134""]","success",1,"[""195.20.50.134""]","[""195.20.50.134""]",0,"net::ERR_ADDRESS_UNREACHABLE at http://www.bypasstool.gq"
7,0,"egypt_control_sample_nat","studies.aljazeera.net","http://studies.aljazeera.net/",0,"studies.aljazeera.net_0",1616668541542,-120,"3/25/2021, 12:35:41 PM","[""172.30.48.1""]","queryA ENODATA studies.aljazeera.net",0,"[]","success",1,"[""23.60.215.128""]","[""23.60.215.128""]",0,"net::ERR_NAME_NOT_RESOLVED at http://studies.aljazeera.net/"
8,0,"egypt_control_sample_nat","egybest.pw","http://egybest.pw",0,"egybest.pw_0",1616668550393,-120,"3/25/2021, 12:35:50 PM","[""172.30.48.1""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","[""104.21.8.181"",""172.67.157.163""]",0,"net::ERR_CONNECTION_RESET at http://egybest.pw"
9,0,"egypt_control_sample_nat","payu.in","http://payu.in",0,"payu.in_0",1616668558100,-120,"3/25/2021, 12:35:58 PM","[""172.30.48.1""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","[""65.1.34.99"",""13.232.230.23""]",1,"success"
