experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"egypt_geneva+cloudflare","shahidlive.co","https://shahidlive.co/",0,"shahidlive.co_0",1616927371975,420,"3/28/2021, 3:29:31 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""212.179.121.131""]","success",1,"[""212.179.121.131""]","[""212.179.121.131""]",1,"success"
1,0,"egypt_geneva+cloudflare","katib.net","https://katib.net/",0,"katib.net_0",1616927389507,420,"3/28/2021, 3:29:49 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",1,"success"
2,0,"egypt_geneva+cloudflare","dailysabah.com","https://www.dailysabah.com/",0,"dailysabah.com_0",1616927403662,420,"3/28/2021, 3:30:03 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""194.36.160.50""]","success",1,"[""194.36.160.15""]","[""194.36.160.50"",""194.36.160.15""]",1,"success"
3,0,"egypt_geneva+cloudflare","avert.org","http://www.avert.org/",0,"avert.org_0",1616927426666,420,"3/28/2021, 3:30:26 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""104.26.9.235"",""172.67.71.72"",""104.26.8.235""]","success",1,"[""104.26.8.235"",""104.26.9.235"",""172.67.71.72""]","[""104.26.9.235"",""172.67.71.72"",""104.26.8.235""]",1,"success"
4,0,"egypt_geneva+cloudflare","proxylisty.com","http://proxylisty.com/",0,"proxylisty.com_0",1616927439875,420,"3/28/2021, 3:30:39 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""45.77.186.199""]","success",1,"[""45.77.186.199""]","[""45.77.186.199""]",1,"success"
5,0,"egypt_geneva+cloudflare","aljazeera.net","http://www.aljazeera.net",0,"aljazeera.net_0",1616927452774,420,"3/28/2021, 3:30:52 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""3.13.128.62"",""3.13.222.135"",""3.137.85.135""]","success",1,"[""3.13.128.62"",""3.13.222.135"",""3.137.85.135""]","[""3.13.128.62"",""3.13.222.135"",""3.137.85.135""]",0,"Navigation timeout of 60000 ms exceeded"
6,0,"egypt_geneva+cloudflare","bypasstool.gq","http://www.bypasstool.gq",0,"bypasstool.gq_0",1616927520401,420,"3/28/2021, 3:32:00 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""195.20.50.134""]","success",1,"[""195.20.50.134""]","[""195.20.50.134""]",0,"net::ERR_ADDRESS_UNREACHABLE at http://www.bypasstool.gq"
7,0,"egypt_geneva+cloudflare","studies.aljazeera.net","http://studies.aljazeera.net/",0,"studies.aljazeera.net_0",1616927544035,420,"3/28/2021, 3:32:24 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""23.60.215.128""]","success",1,"[""23.60.215.128""]","[""23.60.215.128""]",1,"success"
8,0,"egypt_geneva+cloudflare","egybest.pw","http://egybest.pw",0,"egybest.pw_0",1616927574008,420,"3/28/2021, 3:32:54 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","success",1,"[""172.67.157.163"",""104.21.8.181""]","[""104.21.8.181"",""172.67.157.163""]",1,"success"
9,0,"egypt_geneva+cloudflare","payu.in","http://payu.in",0,"payu.in_0",1616927586562,420,"3/28/2021, 3:33:06 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","[""65.1.34.99"",""13.232.230.23""]",1,"success"
10,0,"egypt_geneva+cloudflare","tejaratnews.com","http://tejaratnews.com",0,"tejaratnews.com_0",1616927604602,420,"3/28/2021, 3:33:24 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""185.129.169.84""]","success",1,"[""185.129.169.84""]","[""185.129.169.84""]",1,"success"
11,0,"egypt_geneva+cloudflare","al-watan.com","http://al-watan.com/",0,"al-watan.com_0",1616927619789,420,"3/28/2021, 3:33:39 AM","[""1.1.1.1"",""8.8.8.8"",""8.8.4.4""]","success",1,"[""80.76.165.99""]","success",1,"[""80.76.165.99""]","[""80.76.165.99""]",1,"success"
