experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"egypt_mans_control","shahidlive.co","https://shahidlive.co/",0,"shahidlive.co_0",1616811141904,420,"3/26/2021, 7:12:21 PM","[""127.0.0.53""]","success",1,"[""212.179.121.131""]","success",1,"[""212.179.121.131""]","[""212.179.121.131""]",0,"net::ERR_CONNECTION_RESET at https://shahidlive.co/"
1,0,"egypt_mans_control","katib.net","https://katib.net/",0,"katib.net_0",1616811152509,420,"3/26/2021, 7:12:32 PM","[""127.0.0.53""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",0,"net::ERR_CONNECTION_RESET at https://katib.net/"
2,0,"egypt_mans_control","dailysabah.com","https://www.dailysabah.com/",0,"dailysabah.com_0",1616811160962,420,"3/26/2021, 7:12:40 PM","[""127.0.0.53""]","success",1,"[""194.36.160.50""]","success",1,"[""194.36.160.15""]","[""194.36.160.50"",""194.36.160.15""]",0,"net::ERR_CONNECTION_RESET at https://www.dailysabah.com/"
3,0,"egypt_mans_control","avert.org","http://www.avert.org/",0,"avert.org_0",1616811170010,420,"3/26/2021, 7:12:50 PM","[""127.0.0.53""]","success",1,"[""104.26.8.235"",""104.26.9.235"",""172.67.71.72""]","success",1,"[""104.26.8.235"",""172.67.71.72"",""104.26.9.235""]","[""104.26.8.235"",""104.26.9.235"",""172.67.71.72""]",1,"success"
4,0,"egypt_mans_control","proxylisty.com","http://proxylisty.com/",0,"proxylisty.com_0",1616811181879,420,"3/26/2021, 7:13:01 PM","[""127.0.0.53""]","success",1,"[""45.77.186.199""]","success",1,"[""45.77.186.199""]","[""45.77.186.199""]",1,"success"
5,0,"egypt_mans_control","aljazeera.net","http://www.aljazeera.net",0,"aljazeera.net_0",1616811196239,420,"3/26/2021, 7:13:16 PM","[""127.0.0.53""]","success",1,"[""3.13.222.135"",""3.137.85.135"",""3.13.128.62""]","success",1,"[""3.13.222.135"",""3.137.85.135"",""3.13.128.62""]","[""3.13.222.135"",""3.137.85.135"",""3.13.128.62""]",0,"net::ERR_CONNECTION_RESET at http://www.aljazeera.net"
6,0,"egypt_mans_control","bypasstool.gq","http://www.bypasstool.gq",0,"bypasstool.gq_0",1616811204553,420,"3/26/2021, 7:13:24 PM","[""127.0.0.53""]","success",1,"[""195.20.50.134""]","success",1,"[""195.20.50.134""]","[""195.20.50.134""]",1,"success"
7,0,"egypt_mans_control","studies.aljazeera.net","http://studies.aljazeera.net/",0,"studies.aljazeera.net_0",1616811214531,420,"3/26/2021, 7:13:34 PM","[""127.0.0.53""]","success",1,"[""2.21.126.203""]","success",1,"[""23.60.215.128""]","[""2.21.126.203"",""23.60.215.128""]",0,"net::ERR_CONNECTION_RESET at http://studies.aljazeera.net/"
8,0,"egypt_mans_control","egybest.pw","http://egybest.pw",0,"egybest.pw_0",1616811222663,420,"3/26/2021, 7:13:42 PM","[""127.0.0.53""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","success",1,"[""172.67.157.163"",""104.21.8.181""]","[""104.21.8.181"",""172.67.157.163""]",0,"net::ERR_CONNECTION_RESET at http://egybest.pw"
9,0,"egypt_mans_control","payu.in","http://payu.in",0,"payu.in_0",1616811230680,420,"3/26/2021, 7:13:50 PM","[""127.0.0.53""]","success",1,"[""13.232.230.23"",""65.1.34.99""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","[""13.232.230.23"",""65.1.34.99""]",1,"success"
