experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"egypt_mans_geneva_def","shahidlive.co","https://shahidlive.co/",0,"shahidlive.co_0",1616815882257,420,"3/26/2021, 8:31:22 PM","[""127.0.0.53""]","success",1,"[""212.179.121.131""]","success",1,"[""212.179.121.131""]","[""212.179.121.131""]",1,"success"
1,0,"egypt_mans_geneva_def","katib.net","https://katib.net/",0,"katib.net_0",1616815951018,420,"3/26/2021, 8:32:31 PM","[""127.0.0.53""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",1,"success"
2,0,"egypt_mans_geneva_def","dailysabah.com","https://www.dailysabah.com/",0,"dailysabah.com_0",1616816007937,420,"3/26/2021, 8:33:27 PM","[""127.0.0.53""]","success",1,"[""194.36.160.15""]","success",1,"[""194.36.160.50""]","[""194.36.160.15"",""194.36.160.50""]",1,"success"
3,0,"egypt_mans_geneva_def","avert.org","http://www.avert.org/",0,"avert.org_0",1616816048456,420,"3/26/2021, 8:34:08 PM","[""127.0.0.53""]","success",1,"[""104.26.8.235"",""104.26.9.235"",""172.67.71.72""]","success",1,"[""104.26.9.235"",""104.26.8.235"",""172.67.71.72""]","[""104.26.8.235"",""104.26.9.235"",""172.67.71.72""]",1,"success"
4,0,"egypt_mans_geneva_def","proxylisty.com","http://proxylisty.com/",0,"proxylisty.com_0",1616816087133,420,"3/26/2021, 8:34:47 PM","[""127.0.0.53""]","success",1,"[""45.77.186.199""]","success",1,"[""45.77.186.199""]","[""45.77.186.199""]",1,"success"
5,0,"egypt_mans_geneva_def","aljazeera.net","http://www.aljazeera.net",0,"aljazeera.net_0",1616816110363,420,"3/26/2021, 8:35:10 PM","[""127.0.0.53""]","success",1,"[""3.13.128.62"",""3.13.222.135"",""3.137.85.135""]","success",1,"[""3.137.85.135"",""3.13.128.62"",""3.13.222.135""]","[""3.13.128.62"",""3.13.222.135"",""3.137.85.135""]",0,"Navigation timeout of 60000 ms exceeded"
6,0,"egypt_mans_geneva_def","bypasstool.gq","http://www.bypasstool.gq",0,"bypasstool.gq_0",1616816178337,420,"3/26/2021, 8:36:18 PM","[""127.0.0.53""]","success",1,"[""195.20.50.134""]","success",1,"[""195.20.50.134""]","[""195.20.50.134""]",0,"net::ERR_ADDRESS_UNREACHABLE at http://www.bypasstool.gq"
7,0,"egypt_mans_geneva_def","studies.aljazeera.net","http://studies.aljazeera.net/",0,"studies.aljazeera.net_0",1616816186777,420,"3/26/2021, 8:36:26 PM","[""127.0.0.53""]","success",1,"[""2.22.20.40""]","success",1,"[""23.60.215.128""]","[""2.22.20.40"",""23.60.215.128""]",0,"Navigation timeout of 60000 ms exceeded"
8,0,"egypt_mans_geneva_def","egybest.pw","http://egybest.pw",0,"egybest.pw_0",1616816255812,420,"3/26/2021, 8:37:35 PM","[""127.0.0.53""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","[""104.21.8.181"",""172.67.157.163""]",0,"Navigation timeout of 60000 ms exceeded"
9,0,"egypt_mans_geneva_def","payu.in","http://payu.in",0,"payu.in_0",1616816324176,420,"3/26/2021, 8:38:44 PM","[""127.0.0.53""]","success",1,"[""13.232.230.23"",""65.1.34.99""]","success",1,"[""13.232.230.23"",""65.1.34.99""]","[""13.232.230.23"",""65.1.34.99""]",0,"Navigation timeout of 60000 ms exceeded"
10,0,"egypt_mans_geneva_def","tejaratnews.com","http://tejaratnews.com",0,"tejaratnews.com_0",1616816392787,420,"3/26/2021, 8:39:52 PM","[""127.0.0.53""]","success",1,"[""185.129.169.84""]","success",1,"[""185.129.169.84""]","[""185.129.169.84""]",0,"Navigation timeout of 60000 ms exceeded"
11,0,"egypt_mans_geneva_def","al-watan.com","http://al-watan.com/",0,"al-watan.com_0",1616816461281,420,"3/26/2021, 8:41:01 PM","[""127.0.0.53""]","success",1,"[""80.76.165.99""]","success",1,"[""80.76.165.99""]","[""80.76.165.99""]",0,"Navigation timeout of 60000 ms exceeded"
12,0,"egypt_mans_geneva_def","raya.com","https://www.raya.com/portal",0,"raya.com_0",1616816530472,420,"3/26/2021, 8:42:10 PM","[""127.0.0.53""]","success",1,"[""104.26.10.92"",""104.26.11.92"",""172.67.74.185""]","success",1,"[""104.26.11.92"",""104.26.10.92"",""172.67.74.185""]","[""104.26.10.92"",""104.26.11.92"",""172.67.74.185""]",0,"Navigation timeout of 60000 ms exceeded"
13,0,"egypt_mans_geneva_def","raya.com","https://www.raya.com/",1,"raya.com_1",1616816597979,420,"3/26/2021, 8:43:17 PM","[""127.0.0.53""]","success",1,"[""172.67.74.185"",""104.26.11.92"",""104.26.10.92""]","success",1,"[""104.26.10.92"",""104.26.11.92"",""172.67.74.185""]","[""172.67.74.185"",""104.26.11.92"",""104.26.10.92""]",0,"Navigation timeout of 60000 ms exceeded"
14,0,"egypt_mans_geneva_def","sasapost.com","https://sasapost.com/",0,"sasapost.com_0",1616816666539,420,"3/26/2021, 8:44:26 PM","[""127.0.0.53""]","success",1,"[""172.67.140.243"",""104.21.27.29""]","success",1,"[""104.21.27.29"",""172.67.140.243""]","[""172.67.140.243"",""104.21.27.29""]",0,"Navigation timeout of 60000 ms exceeded"
15,0,"egypt_mans_geneva_def","yanairgate.net","http://yanairgate.net/",0,"yanairgate.net_0",1616816735536,420,"3/26/2021, 8:45:35 PM","[""127.0.0.53""]","success",1,"[""3.13.31.214""]","success",1,"[""3.13.31.214""]","[""3.13.31.214""]",0,"Navigation timeout of 60000 ms exceeded"
16,0,"egypt_mans_geneva_def","akproxy.gq","http://www.akproxy.gq",0,"akproxy.gq_0",1616816805503,420,"3/26/2021, 8:46:45 PM","[""127.0.0.53""]","success",1,"[""195.20.52.148""]","success",1,"[""195.20.52.148""]","[""195.20.52.148""]",0,"Navigation timeout of 60000 ms exceeded"
