experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"egypt_mans_geneva_evolved","shahidlive.co","https://shahidlive.co/",0,"shahidlive.co_0",1616885226576,420,"3/27/2021, 3:47:06 PM","[""127.0.0.53""]","success",1,"[""212.179.121.131""]","success",1,"[""212.179.121.131""]","[""212.179.121.131""]",0,"Navigation timeout of 60000 ms exceeded"
1,0,"egypt_mans_geneva_evolved","katib.net","https://katib.net/",0,"katib.net_0",1616885302004,420,"3/27/2021, 3:48:22 PM","[""127.0.0.53""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",0,"Navigation timeout of 60000 ms exceeded"
2,0,"egypt_mans_geneva_evolved","dailysabah.com","https://www.dailysabah.com/",0,"dailysabah.com_0",1616885373591,420,"3/27/2021, 3:49:33 PM","[""127.0.0.53""]","success",1,"[""194.36.160.15""]","success",1,"[""194.36.160.50""]","[""194.36.160.15"",""194.36.160.50""]",0,"Navigation timeout of 60000 ms exceeded"
3,1,"egypt_mans_geneva_evolved","shahidlive.co","https://shahidlive.co/",1,"shahidlive.co_1",1616885657319,420,"3/27/2021, 3:54:17 PM","[""127.0.0.53""]","success",1,"[""212.179.121.131""]","success",1,"[""212.179.121.131""]","[""212.179.121.131""]",0,"Navigation timeout of 60000 ms exceeded"
4,1,"egypt_mans_geneva_evolved","katib.net","https://katib.net/",1,"katib.net_1",1616885732144,420,"3/27/2021, 3:55:32 PM","[""127.0.0.53""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",0,"Navigation timeout of 60000 ms exceeded"
5,1,"egypt_mans_geneva_evolved","dailysabah.com","https://www.dailysabah.com/",1,"dailysabah.com_1",1616885802795,420,"3/27/2021, 3:56:42 PM","[""127.0.0.53""]","success",1,"[""194.36.160.15""]","success",1,"[""194.36.160.15""]","[""194.36.160.15""]",0,"Navigation timeout of 60000 ms exceeded"
6,1,"egypt_mans_geneva_evolved","avert.org","http://www.avert.org/",0,"avert.org_0",1616885872654,420,"3/27/2021, 3:57:52 PM","[""127.0.0.53""]","success",1,"[""104.26.8.235"",""104.26.9.235"",""172.67.71.72""]","success",1,"[""104.26.9.235"",""104.26.8.235"",""172.67.71.72""]","[""104.26.8.235"",""104.26.9.235"",""172.67.71.72""]",0,"Navigation timeout of 60000 ms exceeded"
7,1,"egypt_mans_geneva_evolved","proxylisty.com","http://proxylisty.com/",0,"proxylisty.com_0",1616885943239,420,"3/27/2021, 3:59:03 PM","[""127.0.0.53""]","success",1,"[""45.77.186.199""]","success",1,"[""45.77.186.199""]","[""45.77.186.199""]",0,"Navigation timeout of 60000 ms exceeded"
8,1,"egypt_mans_geneva_evolved","aljazeera.net","http://www.aljazeera.net",0,"aljazeera.net_0",1616886014051,420,"3/27/2021, 4:00:14 PM","[""127.0.0.53""]","success",1,"[""13.53.128.5"",""13.48.205.10"",""13.49.103.61""]","success",1,"[""3.137.85.135"",""3.13.222.135"",""3.13.128.62""]","[""13.53.128.5"",""13.48.205.10"",""13.49.103.61"",""3.137.85.135"",""3.13.222.135"",""3.13.128.62""]",0,"Navigation timeout of 60000 ms exceeded"
9,1,"egypt_mans_geneva_evolved","bypasstool.gq","http://www.bypasstool.gq",0,"bypasstool.gq_0",1616886084052,420,"3/27/2021, 4:01:24 PM","[""127.0.0.53""]","success",1,"[""195.20.50.134""]","success",1,"[""195.20.50.134""]","[""195.20.50.134""]",0,"Navigation timeout of 60000 ms exceeded"
10,1,"egypt_mans_geneva_evolved","studies.aljazeera.net","http://studies.aljazeera.net/",0,"studies.aljazeera.net_0",1616886154192,420,"3/27/2021, 4:02:34 PM","[""127.0.0.53""]","success",1,"[""96.16.224.144""]","success",1,"[""23.12.128.230""]","[""96.16.224.144"",""23.12.128.230""]",0,"Navigation timeout of 60000 ms exceeded"
11,1,"egypt_mans_geneva_evolved","egybest.pw","http://egybest.pw",0,"egybest.pw_0",1616886224559,420,"3/27/2021, 4:03:44 PM","[""127.0.0.53""]","success",1,"[""172.67.157.163"",""104.21.8.181""]","success",1,"[""172.67.157.163"",""104.21.8.181""]","[""172.67.157.163"",""104.21.8.181""]",0,"Navigation timeout of 60000 ms exceeded"
12,1,"egypt_mans_geneva_evolved","payu.in","http://payu.in",0,"payu.in_0",1616886294516,420,"3/27/2021, 4:04:54 PM","[""127.0.0.53""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","success",1,"[""13.232.230.23"",""65.1.34.99""]","[""65.1.34.99"",""13.232.230.23""]",0,"Navigation timeout of 60000 ms exceeded"
13,1,"egypt_mans_geneva_evolved","tejaratnews.com","http://tejaratnews.com",0,"tejaratnews.com_0",1616886365308,420,"3/27/2021, 4:06:05 PM","[""127.0.0.53""]","success",1,"[""185.129.169.84""]","success",1,"[""185.129.169.84""]","[""185.129.169.84""]",0,"Navigation timeout of 60000 ms exceeded"
14,1,"egypt_mans_geneva_evolved","al-watan.com","http://al-watan.com/",0,"al-watan.com_0",1616886435250,420,"3/27/2021, 4:07:15 PM","[""127.0.0.53""]","success",1,"[""80.76.165.99""]","success",1,"[""80.76.165.99""]","[""80.76.165.99""]",0,"Navigation timeout of 60000 ms exceeded"
15,1,"egypt_mans_geneva_evolved","raya.com","https://www.raya.com/portal",0,"raya.com_0",1616886504549,420,"3/27/2021, 4:08:24 PM","[""127.0.0.53""]","success",1,"[""104.26.11.92"",""172.67.74.185"",""104.26.10.92""]","success",1,"[""104.26.11.92"",""104.26.10.92"",""172.67.74.185""]","[""104.26.11.92"",""172.67.74.185"",""104.26.10.92""]",0,"Navigation timeout of 60000 ms exceeded"
16,1,"egypt_mans_geneva_evolved","raya.com","https://www.raya.com/",1,"raya.com_1",1616886575604,420,"3/27/2021, 4:09:35 PM","[""127.0.0.53""]","success",1,"[""104.26.10.92"",""172.67.74.185"",""104.26.11.92""]","success",1,"[""172.67.74.185"",""104.26.11.92"",""104.26.10.92""]","[""104.26.10.92"",""172.67.74.185"",""104.26.11.92""]",0,"Navigation timeout of 60000 ms exceeded"
17,1,"egypt_mans_geneva_evolved","sasapost.com","https://sasapost.com/",0,"sasapost.com_0",1616886646327,420,"3/27/2021, 4:10:46 PM","[""127.0.0.53""]","success",1,"[""172.67.140.243"",""104.21.27.29""]","success",1,"[""172.67.140.243"",""104.21.27.29""]","[""172.67.140.243"",""104.21.27.29""]",0,"Navigation timeout of 60000 ms exceeded"
18,1,"egypt_mans_geneva_evolved","yanairgate.net","http://yanairgate.net/",0,"yanairgate.net_0",1616886716650,420,"3/27/2021, 4:11:56 PM","[""127.0.0.53""]","success",1,"[""3.13.31.214""]","success",1,"[""3.13.31.214""]","[""3.13.31.214""]",0,"Navigation timeout of 60000 ms exceeded"
19,1,"egypt_mans_geneva_evolved","akproxy.gq","http://www.akproxy.gq",0,"akproxy.gq_0",1616886786802,420,"3/27/2021, 4:13:06 PM","[""127.0.0.53""]","success",1,"[""195.20.52.148""]","success",1,"[""195.20.52.148""]","[""195.20.52.148""]",0,"Navigation timeout of 60000 ms exceeded"
20,1,"egypt_mans_geneva_evolved","ikhwanonline.com","http://www.ikhwanonline.com",0,"ikhwanonline.com_0",1616886857409,420,"3/27/2021, 4:14:17 PM","[""127.0.0.53""]","success",1,"[""104.21.88.190"",""172.67.152.47""]","success",1,"[""172.67.152.47"",""104.21.88.190""]","[""104.21.88.190"",""172.67.152.47""]",0,"Navigation timeout of 60000 ms exceeded"
21,1,"egypt_mans_geneva_evolved","de.lirio.us","http://de.lirio.us/",0,"de.lirio.us_0",1616886927630,420,"3/27/2021, 4:15:27 PM","[""127.0.0.53""]","success",1,"[""37.48.65.154""]","success",1,"[""37.48.65.154""]","[""37.48.65.154""]",0,"Navigation timeout of 60000 ms exceeded"
22,1,"egypt_mans_geneva_evolved","al-akhbar.com","https://al-akhbar.com/",0,"al-akhbar.com_0",1616886999345,420,"3/27/2021, 4:16:39 PM","[""127.0.0.53""]","success",1,"[""104.26.3.184"",""172.67.75.16"",""104.26.2.184""]","success",1,"[""104.26.2.184"",""172.67.75.16"",""104.26.3.184""]","[""104.26.3.184"",""172.67.75.16"",""104.26.2.184""]",0,"Navigation timeout of 60000 ms exceeded"
23,1,"egypt_mans_geneva_evolved","ipvanish.com","https://www.ipvanish.com/",0,"ipvanish.com_0",1616887069673,420,"3/27/2021, 4:17:49 PM","[""127.0.0.53""]","success",1,"[""151.101.194.133"",""151.101.2.133"",""151.101.66.133"",""151.101.130.133""]","success",1,"[""151.101.130.133"",""151.101.194.133"",""151.101.2.133"",""151.101.66.133""]","[""151.101.194.133"",""151.101.2.133"",""151.101.66.133"",""151.101.130.133""]",0,"Navigation timeout of 60000 ms exceeded"
24,1,"egypt_mans_geneva_evolved","ampproject.org","https://www.ampproject.org/",0,"ampproject.org_0",1616887139701,420,"3/27/2021, 4:18:59 PM","[""127.0.0.53""]","success",1,"[""216.58.215.238""]","success",1,"[""172.217.171.206""]","[""216.58.215.238"",""172.217.171.206""]",0,"Navigation timeout of 60000 ms exceeded"
25,1,"egypt_mans_geneva_evolved","thenewkhalij.org","http://thenewkhalij.org",0,"thenewkhalij.org_0",1616887209344,420,"3/27/2021, 4:20:09 PM","[""127.0.0.53""]","success",1,"[""104.21.77.219"",""172.67.211.234""]","success",1,"[""172.67.211.234"",""104.21.77.219""]","[""104.21.77.219"",""172.67.211.234""]",0,"Navigation timeout of 60000 ms exceeded"
26,1,"egypt_mans_geneva_evolved","shadowsocks.org","https://shadowsocks.org/",0,"shadowsocks.org_0",1616887279219,420,"3/27/2021, 4:21:19 PM","[""127.0.0.53""]","success",1,"[""104.21.21.10"",""172.67.195.168""]","success",1,"[""172.67.195.168"",""104.21.21.10""]","[""104.21.21.10"",""172.67.195.168""]",0,"Navigation timeout of 60000 ms exceeded"
27,1,"egypt_mans_geneva_evolved","masr11.com","https://www.masr11.com/",0,"masr11.com_0",1616887348409,420,"3/27/2021, 4:22:28 PM","[""127.0.0.53""]","success",1,"[""104.21.55.125"",""172.67.148.28""]","success",1,"[""104.21.55.125"",""172.67.148.28""]","[""104.21.55.125"",""172.67.148.28""]",0,"Navigation timeout of 60000 ms exceeded"
28,1,"egypt_mans_geneva_evolved","cencos.org","http://cencos.org/",0,"cencos.org_0",1616887418786,420,"3/27/2021, 4:23:38 PM","[""127.0.0.53""]","success",1,"[""159.203.8.241""]","success",1,"[""159.203.8.241""]","[""159.203.8.241""]",0,"Navigation timeout of 60000 ms exceeded"
29,1,"egypt_mans_geneva_evolved","us-proxy.org","http://www.us-proxy.org",0,"us-proxy.org_0",1616887488877,420,"3/27/2021, 4:24:48 PM","[""127.0.0.53""]","success",1,"[""172.67.157.210"",""104.21.8.194""]","success",1,"[""172.67.157.210"",""104.21.8.194""]","[""172.67.157.210"",""104.21.8.194""]",0,"Navigation timeout of 60000 ms exceeded"
30,1,"egypt_mans_geneva_evolved","fj-p.com","http://www.fj-p.com",0,"fj-p.com_0",1616887559296,420,"3/27/2021, 4:25:59 PM","[""127.0.0.53""]","success",1,"[""172.67.201.15"",""104.21.76.210""]","success",1,"[""172.67.201.15"",""104.21.76.210""]","[""172.67.201.15"",""104.21.76.210""]",0,"Navigation timeout of 60000 ms exceeded"
31,1,"egypt_mans_geneva_evolved","tunnelbear.com","https://www.tunnelbear.com/",0,"tunnelbear.com_0",1616887630527,420,"3/27/2021, 4:27:10 PM","[""127.0.0.53""]","success",1,"[""104.17.155.236"",""104.17.154.236""]","success",1,"[""104.17.154.236"",""104.17.155.236""]","[""104.17.155.236"",""104.17.154.236""]",0,"Navigation timeout of 60000 ms exceeded"
32,1,"egypt_mans_geneva_evolved","medium.com","https://medium.com/",0,"medium.com_0",1616887699344,420,"3/27/2021, 4:28:19 PM","[""127.0.0.53""]","success",1,"[""162.159.153.4"",""162.159.152.4""]","success",1,"[""162.159.153.4"",""162.159.152.4""]","[""162.159.153.4"",""162.159.152.4""]",0,"Navigation timeout of 60000 ms exceeded"
33,1,"egypt_mans_geneva_evolved","anhri.net","https://anhri.net/",0,"anhri.net_0",1616887769854,420,"3/27/2021, 4:29:29 PM","[""127.0.0.53""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",0,"Navigation timeout of 60000 ms exceeded"
34,1,"egypt_mans_geneva_evolved","alaraby.co.uk","https://www.alaraby.co.uk/portal",0,"alaraby.co.uk_0",1616887840222,420,"3/27/2021, 4:30:40 PM","[""127.0.0.53""]","success",1,"[""152.195.39.175""]","success",1,"[""152.195.39.175""]","[""152.195.39.175""]",0,"Navigation timeout of 60000 ms exceeded"
35,1,"egypt_mans_geneva_evolved","steadyproxy.ga","http://steadyproxy.ga",0,"steadyproxy.ga_0",1616888488161,420,"3/27/2021, 4:41:28 PM","[""127.0.0.53""]","success",1,"[""195.20.52.203""]","success",1,"[""195.20.52.203""]","[""195.20.52.203""]",0,"Navigation timeout of 60000 ms exceeded"
36,1,"egypt_mans_geneva_evolved","ok.ru","http://ok.ru",0,"ok.ru_0",1616888558310,420,"3/27/2021, 4:42:38 PM","[""127.0.0.53""]","success",1,"[""217.20.147.1"",""217.20.155.13"",""5.61.23.11""]","success",1,"[""217.20.155.13"",""217.20.147.1"",""5.61.23.11""]","[""217.20.147.1"",""217.20.155.13"",""5.61.23.11""]",0,"Navigation timeout of 60000 ms exceeded"
37,1,"egypt_mans_geneva_evolved","studies.aljazeera.net","http://studies.aljazeera.net",1,"studies.aljazeera.net_1",1616888629298,420,"3/27/2021, 4:43:49 PM","[""127.0.0.53""]","success",1,"[""23.60.215.128""]","success",1,"[""23.12.128.230""]","[""23.60.215.128"",""23.12.128.230""]",0,"Navigation timeout of 60000 ms exceeded"
38,1,"egypt_mans_geneva_evolved","ahmedgamalziada.blogspot.com.eg","http://ahmedgamalziada.blogspot.com.eg",0,"ahmedgamalziada.blogspot.com.eg_0",1616888699878,420,"3/27/2021, 4:44:59 PM","[""127.0.0.53""]","success",1,"[""216.58.205.193""]","success",1,"[""216.58.212.97""]","[""216.58.205.193"",""216.58.212.97""]",0,"Navigation timeout of 60000 ms exceeded"
39,1,"egypt_mans_geneva_evolved","on-instant.com","http://www.on-instant.com/",0,"on-instant.com_0",1616888769339,420,"3/27/2021, 4:46:09 PM","[""127.0.0.53""]","success",1,"[""96.45.82.197"",""96.45.83.23"",""96.45.83.165"",""96.45.82.43""]","success",1,"[""96.45.82.43"",""96.45.83.23"",""96.45.82.197"",""96.45.83.165""]","[""96.45.82.197"",""96.45.83.23"",""96.45.83.165"",""96.45.82.43""]",0,"Navigation timeout of 60000 ms exceeded"
