experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"egypt_nordvpn","sexetc.org","https://sexetc.org/",0,"sexetc.org_0",1616409498287,-120,"3/22/2021, 12:38:18 PM","[""172.30.48.1""]","queryA ETIMEOUT sexetc.org",0,"[]","success",1,"[""128.6.43.23""]","[""128.6.43.23""]",1,"success"
1,0,"egypt_nordvpn","betfair.com","http://www.betfair.com/",0,"betfair.com_0",1616409517740,-120,"3/22/2021, 12:38:37 PM","[""172.30.48.1""]","queryA ETIMEOUT betfair.com",0,"[]","success",1,"[""104.16.117.30"",""104.16.118.30""]","[""104.16.117.30"",""104.16.118.30""]",1,"success"
2,0,"egypt_nordvpn","ninjaweb.xyz","http://www.ninjaweb.xyz",0,"ninjaweb.xyz_0",1616409537703,-120,"3/22/2021, 12:38:57 PM","[""172.30.48.1""]","success",1,"[""104.21.235.141"",""104.21.235.142""]","success",1,"[""104.21.235.142"",""104.21.235.141""]","[""104.21.235.141"",""104.21.235.142""]",1,"success"
3,0,"egypt_nordvpn","perfect-privacy.com","http://www.perfect-privacy.com",0,"perfect-privacy.com_0",1616409549071,-120,"3/22/2021, 12:39:09 PM","[""172.30.48.1""]","success",1,"[""95.211.146.77"",""185.17.184.3"",""37.59.164.111"",""5.79.98.56"",""37.48.94.55"",""95.211.199.144""]","success",1,"[""37.59.164.111"",""5.79.98.56"",""95.211.199.144"",""95.211.146.77"",""37.48.94.55"",""185.17.184.3""]","[""95.211.146.77"",""185.17.184.3"",""37.59.164.111"",""5.79.98.56"",""37.48.94.55"",""95.211.199.144""]",1,"success"
4,0,"egypt_nordvpn","google.com.tr","http://google.com.tr",0,"google.com.tr_0",1616409560081,-120,"3/22/2021, 12:39:20 PM","[""172.30.48.1""]","success",1,"[""172.217.169.3""]","success",1,"[""172.217.169.35""]","[""172.217.169.3"",""172.217.169.35""]",1,"success"
5,0,"egypt_nordvpn","qalyubiagate.com","http://qalyubiagate.com",0,"qalyubiagate.com_0",1616409570497,-120,"3/22/2021, 12:39:30 PM","[""172.30.48.1""]","queryA ETIMEOUT qalyubiagate.com",0,"[]","success",1,"[""67.227.226.240""]","[""67.227.226.240""]",1,"success"
6,0,"egypt_nordvpn","zensur.freerk.com","http://www.zensur.freerk.com/",0,"zensur.freerk.com_0",1616409587994,-120,"3/22/2021, 12:39:47 PM","[""172.30.48.1""]","queryA ETIMEOUT zensur.freerk.com",0,"[]","success",1,"[""85.13.141.98""]","[""85.13.141.98""]",1,"success"
7,0,"egypt_nordvpn","esm3.com","https://www.esm3.com/",0,"esm3.com_0",1616409604752,-120,"3/22/2021, 12:40:04 PM","[""172.30.48.1""]","success",1,"[""104.21.233.145"",""104.21.233.146""]","success",1,"[""104.21.233.146"",""104.21.233.145""]","[""104.21.233.145"",""104.21.233.146""]",1,"success"
8,0,"egypt_nordvpn","odaily.com","http://odaily.com",0,"odaily.com_0",1616409616098,-120,"3/22/2021, 12:40:16 PM","[""172.30.48.1""]","queryA ETIMEOUT odaily.com",0,"[]","success",1,"[""39.107.149.215""]","[""39.107.149.215""]",1,"success"
9,0,"egypt_nordvpn","jihadwatch.org","https://www.jihadwatch.org/",0,"jihadwatch.org_0",1616409651121,-120,"3/22/2021, 12:40:51 PM","[""172.30.48.1""]","queryA ETIMEOUT jihadwatch.org",0,"[]","success",1,"[""192.124.249.111""]","[""192.124.249.111""]",1,"success"
10,0,"egypt_nordvpn","stupidcensorship.com","http://www.stupidcensorship.com",0,"stupidcensorship.com_0",1616409670712,-120,"3/22/2021, 12:41:10 PM","[""172.30.48.1""]","queryA ETIMEOUT stupidcensorship.com",0,"[]","success",1,"[""185.53.178.50""]","[""185.53.178.50""]",1,"success"
11,0,"egypt_nordvpn","my-proxy.com","http://www.my-proxy.com",0,"my-proxy.com_0",1616409686038,-120,"3/22/2021, 12:41:26 PM","[""172.30.48.1""]","queryA ETIMEOUT my-proxy.com",0,"[]","success",1,"[""104.21.69.36"",""172.67.203.157""]","[""104.21.69.36"",""172.67.203.157""]",1,"success"
12,0,"egypt_nordvpn","bglad.com","http://www.bglad.com/",0,"bglad.com_0",1616409703165,-120,"3/22/2021, 12:41:43 PM","[""172.30.48.1""]","queryA ETIMEOUT bglad.com",0,"[]","success",1,"[""204.8.234.161""]","[""204.8.234.161""]",1,"success"
13,0,"egypt_nordvpn","gamingday.com","http://www.gamingday.com/",0,"gamingday.com_0",1616409726364,-120,"3/22/2021, 12:42:06 PM","[""172.30.48.1""]","queryA ETIMEOUT gamingday.com",0,"[]","success",1,"[""72.52.178.23""]","[""72.52.178.23""]",1,"success"
14,0,"egypt_nordvpn","cites.org","https://cites.org/",0,"cites.org_0",1616409744962,-120,"3/22/2021, 12:42:24 PM","[""172.30.48.1""]","queryA ETIMEOUT cites.org",0,"[]","success",1,"[""104.22.46.86"",""104.22.47.86"",""172.67.25.202""]","[""104.22.46.86"",""104.22.47.86"",""172.67.25.202""]",1,"success"
15,0,"egypt_nordvpn","dcard.tw","http://dcard.tw",0,"dcard.tw_0",1616409761408,-120,"3/22/2021, 12:42:41 PM","[""172.30.48.1""]","success",1,"[""104.16.204.58"",""104.16.105.87""]","success",1,"[""104.16.204.58"",""104.16.105.87""]","[""104.16.204.58"",""104.16.105.87""]",1,"success"
16,0,"egypt_nordvpn","6neek.com","https://www.6neek.com/",0,"6neek.com_0",1616409773125,-120,"3/22/2021, 12:42:53 PM","[""172.30.48.1""]","success",1,"[""104.21.233.179"",""104.21.233.180""]","success",1,"[""104.21.233.179"",""104.21.233.180""]","[""104.21.233.179"",""104.21.233.180""]",1,"success"
