experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"egypt_nordvpn_obfs_bridged","shahidlive.co","https://shahidlive.co/",0,"shahidlive.co_0",1616772019738,-120,"3/26/2021, 5:20:19 PM","[""127.0.0.53""]","success",1,"[""212.179.121.131""]","success",1,"[""212.179.121.131""]","[""212.179.121.131""]",1,"success"
1,0,"egypt_nordvpn_obfs_bridged","katib.net","https://katib.net/",0,"katib.net_0",1616772069942,-120,"3/26/2021, 5:21:09 PM","[""127.0.0.53""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",1,"success"
2,0,"egypt_nordvpn_obfs_bridged","dailysabah.com","https://www.dailysabah.com/",0,"dailysabah.com_0",1616772083127,-120,"3/26/2021, 5:21:23 PM","[""127.0.0.53""]","success",1,"[""194.36.160.15""]","success",1,"[""194.36.160.50""]","[""194.36.160.15"",""194.36.160.50""]",0,"Navigation timeout of 60000 ms exceeded"
3,0,"egypt_nordvpn_obfs_bridged","avert.org","http://www.avert.org/",0,"avert.org_0",1616772150601,-120,"3/26/2021, 5:22:30 PM","[""127.0.0.53""]","success",1,"[""172.67.71.72"",""104.26.9.235"",""104.26.8.235""]","success",1,"[""172.67.71.72"",""104.26.9.235"",""104.26.8.235""]","[""172.67.71.72"",""104.26.9.235"",""104.26.8.235""]",1,"success"
4,0,"egypt_nordvpn_obfs_bridged","proxylisty.com","http://proxylisty.com/",0,"proxylisty.com_0",1616772173455,-120,"3/26/2021, 5:22:53 PM","[""127.0.0.53""]","success",1,"[""45.77.186.199""]","success",1,"[""45.77.186.199""]","[""45.77.186.199""]",1,"success"
5,0,"egypt_nordvpn_obfs_bridged","aljazeera.net","http://www.aljazeera.net",0,"aljazeera.net_0",1616772189207,-120,"3/26/2021, 5:23:09 PM","[""127.0.0.53""]","success",1,"[""13.49.103.61"",""13.53.128.5"",""13.48.205.10""]","success",1,"[""3.137.85.135"",""3.13.222.135"",""3.13.128.62""]","[""13.49.103.61"",""13.53.128.5"",""13.48.205.10"",""3.137.85.135"",""3.13.222.135"",""3.13.128.62""]",1,"success"
6,0,"egypt_nordvpn_obfs_bridged","bypasstool.gq","http://www.bypasstool.gq",0,"bypasstool.gq_0",1616772210528,-120,"3/26/2021, 5:23:30 PM","[""127.0.0.53""]","success",1,"[""195.20.50.134""]","success",1,"[""195.20.50.134""]","[""195.20.50.134""]",1,"success"
7,0,"egypt_nordvpn_obfs_bridged","studies.aljazeera.net","http://studies.aljazeera.net/",0,"studies.aljazeera.net_0",1616772221370,-120,"3/26/2021, 5:23:41 PM","[""127.0.0.53""]","success",1,"[""92.122.96.32""]","success",1,"[""184.31.91.126""]","[""92.122.96.32"",""184.31.91.126""]",1,"success"
8,0,"egypt_nordvpn_obfs_bridged","egybest.pw","http://egybest.pw",0,"egybest.pw_0",1616772244608,-120,"3/26/2021, 5:24:04 PM","[""127.0.0.53""]","success",1,"[""172.67.157.163"",""104.21.8.181""]","success",1,"[""172.67.157.163"",""104.21.8.181""]","[""172.67.157.163"",""104.21.8.181""]",1,"success"
9,0,"egypt_nordvpn_obfs_bridged","payu.in","http://payu.in",0,"payu.in_0",1616772261594,-120,"3/26/2021, 5:24:21 PM","[""127.0.0.53""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","[""65.1.34.99"",""13.232.230.23""]",1,"success"
10,0,"egypt_nordvpn_obfs_bridged","tejaratnews.com","http://tejaratnews.com",0,"tejaratnews.com_0",1616772280230,-120,"3/26/2021, 5:24:40 PM","[""127.0.0.53""]","success",1,"[""185.129.169.84""]","success",1,"[""185.129.169.84""]","[""185.129.169.84""]",1,"success"
11,0,"egypt_nordvpn_obfs_bridged","al-watan.com","http://al-watan.com/",0,"al-watan.com_0",1616772317800,-120,"3/26/2021, 5:25:17 PM","[""127.0.0.53""]","success",1,"[""80.76.165.99""]","success",1,"[""80.76.165.99""]","[""80.76.165.99""]",1,"success"
12,0,"egypt_nordvpn_obfs_bridged","raya.com","https://www.raya.com/portal",0,"raya.com_0",1616772342421,-120,"3/26/2021, 5:25:42 PM","[""127.0.0.53""]","success",1,"[""104.26.10.92"",""172.67.74.185"",""104.26.11.92""]","success",1,"[""104.26.11.92"",""172.67.74.185"",""104.26.10.92""]","[""104.26.10.92"",""172.67.74.185"",""104.26.11.92""]",1,"success"
13,0,"egypt_nordvpn_obfs_bridged","raya.com","https://www.raya.com/",1,"raya.com_1",1616772371970,-120,"3/26/2021, 5:26:11 PM","[""127.0.0.53""]","success",1,"[""104.26.11.92"",""172.67.74.185"",""104.26.10.92""]","success",1,"[""104.26.10.92"",""104.26.11.92"",""172.67.74.185""]","[""104.26.11.92"",""172.67.74.185"",""104.26.10.92""]",1,"success"
14,0,"egypt_nordvpn_obfs_bridged","sasapost.com","https://sasapost.com/",0,"sasapost.com_0",1616772392578,-120,"3/26/2021, 5:26:32 PM","[""127.0.0.53""]","success",1,"[""104.21.27.29"",""172.67.140.243""]","success",1,"[""172.67.140.243"",""104.21.27.29""]","[""104.21.27.29"",""172.67.140.243""]",1,"success"
15,0,"egypt_nordvpn_obfs_bridged","yanairgate.net","http://yanairgate.net/",0,"yanairgate.net_0",1616772411118,-120,"3/26/2021, 5:26:51 PM","[""127.0.0.53""]","success",1,"[""3.13.31.214""]","success",1,"[""3.13.31.214""]","[""3.13.31.214""]",1,"success"
16,0,"egypt_nordvpn_obfs_bridged","akproxy.gq","http://www.akproxy.gq",0,"akproxy.gq_0",1616772423127,-120,"3/26/2021, 5:27:03 PM","[""127.0.0.53""]","success",1,"[""195.20.52.148""]","success",1,"[""195.20.52.148""]","[""195.20.52.148""]",1,"success"
17,0,"egypt_nordvpn_obfs_bridged","ikhwanonline.com","http://www.ikhwanonline.com",0,"ikhwanonline.com_0",1616772443102,-120,"3/26/2021, 5:27:23 PM","[""127.0.0.53""]","success",1,"[""104.21.88.190"",""172.67.152.47""]","success",1,"[""172.67.152.47"",""104.21.88.190""]","[""104.21.88.190"",""172.67.152.47""]",1,"success"
18,0,"egypt_nordvpn_obfs_bridged","de.lirio.us","http://de.lirio.us/",0,"de.lirio.us_0",1616772459194,-120,"3/26/2021, 5:27:39 PM","[""127.0.0.53""]","success",1,"[""185.107.56.193""]","success",1,"[""192.157.56.140""]","[""185.107.56.193"",""192.157.56.140""]",0,"net::ERR_EMPTY_RESPONSE at http://de.lirio.us/"
19,0,"egypt_nordvpn_obfs_bridged","al-akhbar.com","https://al-akhbar.com/",0,"al-akhbar.com_0",1616772482274,-120,"3/26/2021, 5:28:02 PM","[""127.0.0.53""]","success",1,"[""172.67.75.16"",""104.26.3.184"",""104.26.2.184""]","success",1,"[""172.67.75.16"",""104.26.2.184"",""104.26.3.184""]","[""172.67.75.16"",""104.26.3.184"",""104.26.2.184""]",1,"success"
20,0,"egypt_nordvpn_obfs_bridged","ipvanish.com","https://www.ipvanish.com/",0,"ipvanish.com_0",1616772500293,-120,"3/26/2021, 5:28:20 PM","[""127.0.0.53""]","success",1,"[""151.101.194.133"",""151.101.66.133"",""151.101.130.133"",""151.101.2.133""]","queryA ESERVFAIL ipvanish.com",0,"[]","[""151.101.194.133"",""151.101.66.133"",""151.101.130.133"",""151.101.2.133""]",0,"net::ERR_CONNECTION_CLOSED at https://www.ipvanish.com/"
21,0,"egypt_nordvpn_obfs_bridged","ampproject.org","https://www.ampproject.org/",0,"ampproject.org_0",1616772510539,-120,"3/26/2021, 5:28:30 PM","[""127.0.0.53""]","success",1,"[""172.217.23.238""]","success",1,"[""172.217.17.238""]","[""172.217.23.238"",""172.217.17.238""]",1,"success"
22,0,"egypt_nordvpn_obfs_bridged","thenewkhalij.org","http://thenewkhalij.org",0,"thenewkhalij.org_0",1616772525479,-120,"3/26/2021, 5:28:45 PM","[""127.0.0.53""]","success",1,"[""172.67.211.234"",""104.21.77.219""]","success",1,"[""172.67.211.234"",""104.21.77.219""]","[""172.67.211.234"",""104.21.77.219""]",1,"success"
23,0,"egypt_nordvpn_obfs_bridged","shadowsocks.org","https://shadowsocks.org/",0,"shadowsocks.org_0",1616772541262,-120,"3/26/2021, 5:29:01 PM","[""127.0.0.53""]","success",1,"[""172.67.195.168"",""104.21.21.10""]","success",1,"[""172.67.195.168"",""104.21.21.10""]","[""172.67.195.168"",""104.21.21.10""]",1,"success"
24,0,"egypt_nordvpn_obfs_bridged","masr11.com","https://www.masr11.com/",0,"masr11.com_0",1616772555266,-120,"3/26/2021, 5:29:15 PM","[""127.0.0.53""]","success",1,"[""104.21.55.125"",""172.67.148.28""]","success",1,"[""104.21.55.125"",""172.67.148.28""]","[""104.21.55.125"",""172.67.148.28""]",1,"success"
25,0,"egypt_nordvpn_obfs_bridged","cencos.org","http://cencos.org/",0,"cencos.org_0",1616772578510,-120,"3/26/2021, 5:29:38 PM","[""127.0.0.53""]","success",1,"[""159.203.8.241""]","success",1,"[""159.203.8.241""]","[""159.203.8.241""]",0,"net::ERR_EMPTY_RESPONSE at http://cencos.org/"
26,0,"egypt_nordvpn_obfs_bridged","us-proxy.org","http://www.us-proxy.org",0,"us-proxy.org_0",1616772590619,-120,"3/26/2021, 5:29:50 PM","[""127.0.0.53""]","success",1,"[""104.21.8.194"",""172.67.157.210""]","success",1,"[""104.21.8.194"",""172.67.157.210""]","[""104.21.8.194"",""172.67.157.210""]",1,"success"
27,0,"egypt_nordvpn_obfs_bridged","fj-p.com","http://www.fj-p.com",0,"fj-p.com_0",1616772605656,-120,"3/26/2021, 5:30:05 PM","[""127.0.0.53""]","success",1,"[""172.67.201.15"",""104.21.76.210""]","success",1,"[""104.21.76.210"",""172.67.201.15""]","[""172.67.201.15"",""104.21.76.210""]",1,"success"
28,0,"egypt_nordvpn_obfs_bridged","tunnelbear.com","https://www.tunnelbear.com/",0,"tunnelbear.com_0",1616772635466,-120,"3/26/2021, 5:30:35 PM","[""127.0.0.53""]","success",1,"[""104.17.154.236"",""104.17.155.236""]","success",1,"[""104.17.154.236"",""104.17.155.236""]","[""104.17.154.236"",""104.17.155.236""]",0,"net::ERR_CONNECTION_CLOSED at https://www.tunnelbear.com/"
29,0,"egypt_nordvpn_obfs_bridged","medium.com","https://medium.com/",0,"medium.com_0",1616772645178,-120,"3/26/2021, 5:30:45 PM","[""127.0.0.53""]","success",1,"[""162.159.153.4"",""162.159.152.4""]","success",1,"[""162.159.153.4"",""162.159.152.4""]","[""162.159.153.4"",""162.159.152.4""]",1,"success"
30,0,"egypt_nordvpn_obfs_bridged","anhri.net","https://anhri.net/",0,"anhri.net_0",1616772661798,-120,"3/26/2021, 5:31:01 PM","[""127.0.0.53""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",1,"success"
31,0,"egypt_nordvpn_obfs_bridged","alaraby.co.uk","https://www.alaraby.co.uk/portal",0,"alaraby.co.uk_0",1616772678479,-120,"3/26/2021, 5:31:18 PM","[""127.0.0.53""]","success",1,"[""152.195.39.175""]","success",1,"[""152.195.39.175""]","[""152.195.39.175""]",1,"success"
32,0,"egypt_nordvpn_obfs_bridged","steadyproxy.ga","http://steadyproxy.ga",0,"steadyproxy.ga_0",1616772696870,-120,"3/26/2021, 5:31:36 PM","[""127.0.0.53""]","success",1,"[""195.20.52.203""]","success",1,"[""195.20.52.203""]","[""195.20.52.203""]",1,"success"
33,0,"egypt_nordvpn_obfs_bridged","ok.ru","http://ok.ru",0,"ok.ru_0",1616772713519,-120,"3/26/2021, 5:31:53 PM","[""127.0.0.53""]","success",1,"[""5.61.23.11"",""217.20.147.1"",""217.20.155.13""]","success",1,"[""217.20.155.13"",""5.61.23.11"",""217.20.147.1""]","[""5.61.23.11"",""217.20.147.1"",""217.20.155.13""]",0,"Navigation timeout of 60000 ms exceeded"
34,0,"egypt_nordvpn_obfs_bridged","studies.aljazeera.net","http://studies.aljazeera.net",1,"studies.aljazeera.net_1",1616772782576,-120,"3/26/2021, 5:33:02 PM","[""127.0.0.53""]","success",1,"[""92.122.96.32""]","success",1,"[""184.31.91.126""]","[""92.122.96.32"",""184.31.91.126""]",1,"success"
35,0,"egypt_nordvpn_obfs_bridged","ahmedgamalziada.blogspot.com.eg","http://ahmedgamalziada.blogspot.com.eg",0,"ahmedgamalziada.blogspot.com.eg_0",1616772805123,-120,"3/26/2021, 5:33:25 PM","[""127.0.0.53""]","queryA ESERVFAIL ahmedgamalziada.blogspot.com.eg",0,"[]","success",1,"[""216.58.206.161""]","[""216.58.206.161""]",0,"net::ERR_NAME_NOT_RESOLVED at http://ahmedgamalziada.blogspot.com.eg"
36,0,"egypt_nordvpn_obfs_bridged","on-instant.com","http://www.on-instant.com/",0,"on-instant.com_0",1616772833050,-120,"3/26/2021, 5:33:53 PM","[""127.0.0.53""]","success",1,"[""96.45.82.197"",""96.45.83.165"",""96.45.82.43"",""96.45.83.23""]","success",1,"[""96.45.82.197"",""96.45.82.43"",""96.45.83.165"",""96.45.83.23""]","[""96.45.82.197"",""96.45.83.165"",""96.45.82.43"",""96.45.83.23""]",1,"success"
