experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"egypt_tor","shahidlive.co","https://shahidlive.co/",0,"shahidlive.co_0",1616785407954,-120,"3/26/2021, 9:03:27 PM","[""127.0.0.53""]","success",1,"[""212.179.121.131""]","success",1,"[""212.179.121.131""]","[""212.179.121.131""]",1,"success"
1,0,"egypt_tor","katib.net","https://katib.net/",0,"katib.net_0",1616785441691,-120,"3/26/2021, 9:04:01 PM","[""127.0.0.53""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",1,"success"
2,0,"egypt_tor","dailysabah.com","https://www.dailysabah.com/",0,"dailysabah.com_0",1616785467371,-120,"3/26/2021, 9:04:27 PM","[""127.0.0.53""]","success",1,"[""194.36.160.50""]","success",1,"[""194.36.160.15""]","[""194.36.160.50"",""194.36.160.15""]",1,"success"
3,0,"egypt_tor","avert.org","http://www.avert.org/",0,"avert.org_0",1616785493591,-120,"3/26/2021, 9:04:53 PM","[""127.0.0.53""]","success",1,"[""104.26.9.235"",""104.26.8.235"",""172.67.71.72""]","success",1,"[""104.26.8.235"",""104.26.9.235"",""172.67.71.72""]","[""104.26.9.235"",""104.26.8.235"",""172.67.71.72""]",1,"success"
4,0,"egypt_tor","proxylisty.com","http://proxylisty.com/",0,"proxylisty.com_0",1616785510269,-120,"3/26/2021, 9:05:10 PM","[""127.0.0.53""]","success",1,"[""45.77.186.199""]","success",1,"[""45.77.186.199""]","[""45.77.186.199""]",1,"success"
5,0,"egypt_tor","aljazeera.net","http://www.aljazeera.net",0,"aljazeera.net_0",1616785529079,-120,"3/26/2021, 9:05:29 PM","[""127.0.0.53""]","queryA ENODATA aljazeera.net",0,"[]","success",1,"[""3.13.222.135"",""3.137.85.135"",""3.13.128.62""]","[""3.13.222.135"",""3.137.85.135"",""3.13.128.62""]",0,"Navigation timeout of 60000 ms exceeded"
6,0,"egypt_tor","bypasstool.gq","http://www.bypasstool.gq",0,"bypasstool.gq_0",1616785597983,-120,"3/26/2021, 9:06:37 PM","[""127.0.0.53""]","success",1,"[""195.20.50.134""]","success",1,"[""195.20.50.134""]","[""195.20.50.134""]",1,"success"
7,0,"egypt_tor","studies.aljazeera.net","http://studies.aljazeera.net/",0,"studies.aljazeera.net_0",1616785608671,-120,"3/26/2021, 9:06:48 PM","[""127.0.0.53""]","queryA ENODATA studies.aljazeera.net",0,"[]","success",1,"[""184.25.37.108""]","[""184.25.37.108""]",0,"Navigation timeout of 60000 ms exceeded"
8,0,"egypt_tor","egybest.pw","http://egybest.pw",0,"egybest.pw_0",1616785678323,-120,"3/26/2021, 9:07:58 PM","[""127.0.0.53""]","success",1,"[""172.67.157.163"",""104.21.8.181""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","[""172.67.157.163"",""104.21.8.181""]",1,"success"
9,0,"egypt_tor","payu.in","http://payu.in",0,"payu.in_0",1616785704670,-120,"3/26/2021, 9:08:24 PM","[""127.0.0.53""]","success",1,"[""13.232.230.23"",""65.1.34.99""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","[""13.232.230.23"",""65.1.34.99""]",0,"Navigation timeout of 60000 ms exceeded"
