experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"egypt_torbrowser","shahidlive.co","https://shahidlive.co/",0,"shahidlive.co_0",1616799295727,-120,"3/27/2021, 12:54:55 AM","[""127.0.0.53""]","success",1,"[""212.179.121.131""]","success",1,"[""212.179.121.131""]","[""212.179.121.131""]",1,"success"
1,0,"egypt_torbrowser","katib.net","https://katib.net/",0,"katib.net_0",1616799322718,-120,"3/27/2021, 12:55:22 AM","[""127.0.0.53""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",1,"success"
2,0,"egypt_torbrowser","dailysabah.com","https://www.dailysabah.com/",0,"dailysabah.com_0",1616799361918,-120,"3/27/2021, 12:56:01 AM","[""127.0.0.53""]","success",1,"[""194.36.160.50""]","success",1,"[""194.36.160.15""]","[""194.36.160.50"",""194.36.160.15""]",1,"success"
3,0,"egypt_torbrowser","avert.org","http://www.avert.org/",0,"avert.org_0",1616799384896,-120,"3/27/2021, 12:56:24 AM","[""127.0.0.53""]","success",1,"[""104.26.9.235"",""104.26.8.235"",""172.67.71.72""]","success",1,"[""104.26.8.235"",""172.67.71.72"",""104.26.9.235""]","[""104.26.9.235"",""104.26.8.235"",""172.67.71.72""]",1,"success"
4,0,"egypt_torbrowser","proxylisty.com","http://proxylisty.com/",0,"proxylisty.com_0",1616799404856,-120,"3/27/2021, 12:56:44 AM","[""127.0.0.53""]","success",1,"[""45.77.186.199""]","success",1,"[""45.77.186.199""]","[""45.77.186.199""]",1,"success"
5,0,"egypt_torbrowser","aljazeera.net","http://www.aljazeera.net",0,"aljazeera.net_0",1616799419846,-120,"3/27/2021, 12:56:59 AM","[""127.0.0.53""]","queryA ENODATA aljazeera.net",0,"[]","success",1,"[""13.53.128.5"",""13.48.205.10"",""13.49.103.61""]","[""13.53.128.5"",""13.48.205.10"",""13.49.103.61""]",1,"success"
6,0,"egypt_torbrowser","bypasstool.gq","http://www.bypasstool.gq",0,"bypasstool.gq_0",1616799466179,-120,"3/27/2021, 12:57:46 AM","[""127.0.0.53""]","success",1,"[""195.20.50.134""]","success",1,"[""195.20.50.134""]","[""195.20.50.134""]",1,"success"
7,0,"egypt_torbrowser","studies.aljazeera.net","http://studies.aljazeera.net/",0,"studies.aljazeera.net_0",1616799478420,-120,"3/27/2021, 12:57:58 AM","[""127.0.0.53""]","queryA ENODATA studies.aljazeera.net",0,"[]","success",1,"[""23.60.215.128""]","[""23.60.215.128""]",1,"success"
8,0,"egypt_torbrowser","egybest.pw","http://egybest.pw",0,"egybest.pw_0",1616799545224,-120,"3/27/2021, 12:59:05 AM","[""127.0.0.53""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","[""104.21.8.181"",""172.67.157.163""]",1,"success"
9,0,"egypt_torbrowser","payu.in","http://payu.in",0,"payu.in_0",1616799564003,-120,"3/27/2021, 12:59:24 AM","[""127.0.0.53""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","[""65.1.34.99"",""13.232.230.23""]",1,"success"
10,0,"egypt_torbrowser","tejaratnews.com","http://tejaratnews.com",0,"tejaratnews.com_0",1616799599558,-120,"3/27/2021, 12:59:59 AM","[""127.0.0.53""]","success",1,"[""185.129.169.84""]","success",1,"[""185.129.169.84""]","[""185.129.169.84""]",1,"success"
11,0,"egypt_torbrowser","al-watan.com","http://al-watan.com/",0,"al-watan.com_0",1616799640979,-120,"3/27/2021, 1:00:40 AM","[""127.0.0.53""]","success",1,"[""80.76.165.99""]","success",1,"[""80.76.165.99""]","[""80.76.165.99""]",0,"Navigation timeout of 60000 ms exceeded"
12,0,"egypt_torbrowser","raya.com","https://www.raya.com/portal",0,"raya.com_0",1616799709122,-120,"3/27/2021, 1:01:49 AM","[""127.0.0.53""]","success",1,"[""104.26.10.92"",""172.67.74.185"",""104.26.11.92""]","success",1,"[""104.26.10.92"",""172.67.74.185"",""104.26.11.92""]","[""104.26.10.92"",""172.67.74.185"",""104.26.11.92""]",1,"success"
13,0,"egypt_torbrowser","raya.com","https://www.raya.com/",1,"raya.com_1",1616799723789,-120,"3/27/2021, 1:02:03 AM","[""127.0.0.53""]","success",1,"[""104.26.11.92"",""172.67.74.185"",""104.26.10.92""]","success",1,"[""104.26.11.92"",""172.67.74.185"",""104.26.10.92""]","[""104.26.11.92"",""172.67.74.185"",""104.26.10.92""]",1,"success"
14,0,"egypt_torbrowser","sasapost.com","https://sasapost.com/",0,"sasapost.com_0",1616799737052,-120,"3/27/2021, 1:02:17 AM","[""127.0.0.53""]","success",1,"[""104.21.27.29"",""172.67.140.243""]","success",1,"[""104.21.27.29"",""172.67.140.243""]","[""104.21.27.29"",""172.67.140.243""]",1,"success"
15,0,"egypt_torbrowser","yanairgate.net","http://yanairgate.net/",0,"yanairgate.net_0",1616799751706,-120,"3/27/2021, 1:02:31 AM","[""127.0.0.53""]","queryA ENODATA yanairgate.net",0,"[]","success",1,"[""3.13.31.214""]","[""3.13.31.214""]",1,"success"
16,0,"egypt_torbrowser","akproxy.gq","http://www.akproxy.gq",0,"akproxy.gq_0",1616799766800,-120,"3/27/2021, 1:02:46 AM","[""127.0.0.53""]","success",1,"[""195.20.52.148""]","success",1,"[""195.20.52.148""]","[""195.20.52.148""]",0,"Navigation timeout of 60000 ms exceeded"
17,0,"egypt_torbrowser","ikhwanonline.com","http://www.ikhwanonline.com",0,"ikhwanonline.com_0",1616799833842,-120,"3/27/2021, 1:03:53 AM","[""127.0.0.53""]","queryA ENODATA ikhwanonline.com",0,"[]","success",1,"[""172.67.152.47"",""104.21.88.190""]","[""172.67.152.47"",""104.21.88.190""]",1,"success"
18,0,"egypt_torbrowser","de.lirio.us","http://de.lirio.us/",0,"de.lirio.us_0",1616799857006,-120,"3/27/2021, 1:04:17 AM","[""127.0.0.53""]","success",1,"[""185.107.56.192""]","success",1,"[""96.47.230.67""]","[""185.107.56.192"",""96.47.230.67""]",1,"success"
