experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"egypt_vpn_std_nat","shahidlive.co","https://shahidlive.co/",0,"shahidlive.co_0",1616777889576,-120,"3/26/2021, 6:58:09 PM","[""127.0.0.53""]","success",1,"[""212.179.121.131""]","success",1,"[""212.179.121.131""]","[""212.179.121.131""]",1,"success"
1,0,"egypt_vpn_std_nat","katib.net","https://katib.net/",0,"katib.net_0",1616777931659,-120,"3/26/2021, 6:58:51 PM","[""127.0.0.53""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",1,"success"
2,0,"egypt_vpn_std_nat","dailysabah.com","https://www.dailysabah.com/",0,"dailysabah.com_0",1616777960536,-120,"3/26/2021, 6:59:20 PM","[""127.0.0.53""]","success",1,"[""194.36.160.15""]","success",1,"[""194.36.160.15""]","[""194.36.160.15""]",1,"success"
3,0,"egypt_vpn_std_nat","avert.org","http://www.avert.org/",0,"avert.org_0",1616777977684,-120,"3/26/2021, 6:59:37 PM","[""127.0.0.53""]","success",1,"[""104.26.8.235""]","success",1,"[""104.26.8.235""]","[""104.26.8.235""]",1,"success"
4,0,"egypt_vpn_std_nat","proxylisty.com","http://proxylisty.com/",0,"proxylisty.com_0",1616777995224,-120,"3/26/2021, 6:59:55 PM","[""127.0.0.53""]","success",1,"[""45.77.186.199""]","success",1,"[""45.77.186.199""]","[""45.77.186.199""]",1,"success"
5,0,"egypt_vpn_std_nat","aljazeera.net","http://www.aljazeera.net",0,"aljazeera.net_0",1616778007264,-120,"3/26/2021, 7:00:07 PM","[""127.0.0.53""]","success",1,"[""13.48.205.10""]","success",1,"[""13.48.205.10""]","[""13.48.205.10""]",1,"success"
6,0,"egypt_vpn_std_nat","bypasstool.gq","http://www.bypasstool.gq",0,"bypasstool.gq_0",1616778033552,-120,"3/26/2021, 7:00:33 PM","[""127.0.0.53""]","success",1,"[""195.20.50.134""]","success",1,"[""195.20.50.134""]","[""195.20.50.134""]",1,"success"
7,0,"egypt_vpn_std_nat","studies.aljazeera.net","http://studies.aljazeera.net/",0,"studies.aljazeera.net_0",1616778043165,-120,"3/26/2021, 7:00:43 PM","[""127.0.0.53""]","success",1,"[""23.64.100.232""]","success",1,"[""23.64.100.232""]","[""23.64.100.232""]",1,"success"
8,0,"egypt_vpn_std_nat","egybest.pw","http://egybest.pw",0,"egybest.pw_0",1616778099989,-120,"3/26/2021, 7:01:39 PM","[""127.0.0.53""]","success",1,"[""104.21.8.181""]","success",1,"[""104.21.8.181""]","[""104.21.8.181""]",1,"success"
9,0,"egypt_vpn_std_nat","payu.in","http://payu.in",0,"payu.in_0",1616778109023,-120,"3/26/2021, 7:01:49 PM","[""127.0.0.53""]","success",1,"[""65.1.34.99""]","success",1,"[""65.1.34.99""]","[""65.1.34.99""]",1,"success"
10,0,"egypt_vpn_std_nat","tejaratnews.com","http://tejaratnews.com",0,"tejaratnews.com_0",1616778167475,-120,"3/26/2021, 7:02:47 PM","[""127.0.0.53""]","success",1,"[""185.129.169.84""]","success",1,"[""185.129.169.84""]","[""185.129.169.84""]",1,"success"
11,0,"egypt_vpn_std_nat","al-watan.com","http://al-watan.com/",0,"al-watan.com_0",1616778195025,-120,"3/26/2021, 7:03:15 PM","[""127.0.0.53""]","success",1,"[""80.76.165.99""]","success",1,"[""80.76.165.99""]","[""80.76.165.99""]",1,"success"
12,0,"egypt_vpn_std_nat","raya.com","https://www.raya.com/portal",0,"raya.com_0",1616778253735,-120,"3/26/2021, 7:04:13 PM","[""127.0.0.53""]","success",1,"[""172.67.74.185""]","success",1,"[""172.67.74.185""]","[""172.67.74.185""]",1,"success"
13,0,"egypt_vpn_std_nat","raya.com","https://www.raya.com/",1,"raya.com_1",1616778273830,-120,"3/26/2021, 7:04:33 PM","[""127.0.0.53""]","success",1,"[""172.67.74.185""]","success",1,"[""172.67.74.185""]","[""172.67.74.185""]",1,"success"
14,0,"egypt_vpn_std_nat","sasapost.com","https://sasapost.com/",0,"sasapost.com_0",1616778293493,-120,"3/26/2021, 7:04:53 PM","[""127.0.0.53""]","success",1,"[""172.67.140.243""]","success",1,"[""172.67.140.243""]","[""172.67.140.243""]",1,"success"
