experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"us_control_sample_bridged","shahidlive.co","https://shahidlive.co/",0,"shahidlive.co_0",1616682173522,420,"3/25/2021, 7:22:53 AM","[""127.0.0.53""]","success",1,"[""212.179.121.131""]","success",1,"[""212.179.121.131""]","[""212.179.121.131""]",1,"success"
1,0,"us_control_sample_bridged","katib.net","https://katib.net/",0,"katib.net_0",1616682188725,420,"3/25/2021, 7:23:08 AM","[""127.0.0.53""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",1,"success"
2,0,"us_control_sample_bridged","dailysabah.com","https://www.dailysabah.com/",0,"dailysabah.com_0",1616682197400,420,"3/25/2021, 7:23:17 AM","[""127.0.0.53""]","success",1,"[""194.36.160.15""]","success",1,"[""194.36.160.15""]","[""194.36.160.15""]",1,"success"
3,0,"us_control_sample_bridged","avert.org","http://www.avert.org/",0,"avert.org_0",1616682207429,420,"3/25/2021, 7:23:27 AM","[""127.0.0.53""]","success",1,"[""104.26.8.235"",""172.67.71.72"",""104.26.9.235""]","success",1,"[""104.26.9.235"",""172.67.71.72"",""104.26.8.235""]","[""104.26.8.235"",""172.67.71.72"",""104.26.9.235""]",1,"success"
4,0,"us_control_sample_bridged","proxylisty.com","http://proxylisty.com/",0,"proxylisty.com_0",1616682217604,420,"3/25/2021, 7:23:37 AM","[""127.0.0.53""]","success",1,"[""45.77.186.199""]","success",1,"[""45.77.186.199""]","[""45.77.186.199""]",1,"success"
5,0,"us_control_sample_bridged","aljazeera.net","http://www.aljazeera.net",0,"aljazeera.net_0",1616682226487,420,"3/25/2021, 7:23:46 AM","[""127.0.0.53""]","success",1,"[""13.53.128.5"",""13.49.103.61"",""13.48.205.10""]","success",1,"[""3.137.85.135"",""3.13.222.135"",""3.13.128.62""]","[""13.53.128.5"",""13.49.103.61"",""13.48.205.10"",""3.137.85.135"",""3.13.222.135"",""3.13.128.62""]",1,"success"
6,0,"us_control_sample_bridged","bypasstool.gq","http://www.bypasstool.gq",0,"bypasstool.gq_0",1616682237520,420,"3/25/2021, 7:23:57 AM","[""127.0.0.53""]","success",1,"[""195.20.50.134""]","success",1,"[""195.20.50.134""]","[""195.20.50.134""]",1,"success"
7,0,"us_control_sample_bridged","studies.aljazeera.net","http://studies.aljazeera.net/",0,"studies.aljazeera.net_0",1616682247272,420,"3/25/2021, 7:24:07 AM","[""127.0.0.53""]","success",1,"[""104.104.111.91""]","success",1,"[""104.104.111.91""]","[""104.104.111.91""]",1,"success"
8,0,"us_control_sample_bridged","egybest.pw","http://egybest.pw",0,"egybest.pw_0",1616682258073,420,"3/25/2021, 7:24:18 AM","[""127.0.0.53""]","success",1,"[""172.67.157.163"",""104.21.8.181""]","success",1,"[""172.67.157.163"",""104.21.8.181""]","[""172.67.157.163"",""104.21.8.181""]",1,"success"
9,0,"us_control_sample_bridged","payu.in","http://payu.in",0,"payu.in_0",1616682267491,420,"3/25/2021, 7:24:27 AM","[""127.0.0.53""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","[""65.1.34.99"",""13.232.230.23""]",1,"success"
10,0,"us_control_sample_bridged","tejaratnews.com","http://tejaratnews.com",0,"tejaratnews.com_0",1616682278140,420,"3/25/2021, 7:24:38 AM","[""127.0.0.53""]","success",1,"[""185.129.169.84""]","success",1,"[""185.129.169.84""]","[""185.129.169.84""]",1,"success"
11,0,"us_control_sample_bridged","al-watan.com","http://al-watan.com/",0,"al-watan.com_0",1616682290059,420,"3/25/2021, 7:24:50 AM","[""127.0.0.53""]","success",1,"[""80.76.165.99""]","success",1,"[""80.76.165.99""]","[""80.76.165.99""]",1,"success"
12,0,"us_control_sample_bridged","raya.com","https://www.raya.com/portal",0,"raya.com_0",1616682312078,420,"3/25/2021, 7:25:12 AM","[""127.0.0.53""]","success",1,"[""104.26.11.92"",""104.26.10.92"",""172.67.74.185""]","success",1,"[""104.26.11.92"",""104.26.10.92"",""172.67.74.185""]","[""104.26.11.92"",""104.26.10.92"",""172.67.74.185""]",1,"success"
