experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"us_control_sample_nat","shahidlive.co","https://shahidlive.co/",0,"shahidlive.co_0",1616670568637,240,"3/25/2021, 7:09:28 AM","[""172.20.144.1""]","success",1,"[""212.179.121.131""]","success",1,"[""212.179.121.131""]","[""212.179.121.131""]",1,"success"
1,0,"us_control_sample_nat","katib.net","https://katib.net/",0,"katib.net_0",1616670582283,240,"3/25/2021, 7:09:42 AM","[""172.20.144.1""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",1,"success"
2,0,"us_control_sample_nat","dailysabah.com","https://www.dailysabah.com/",0,"dailysabah.com_0",1616670593004,240,"3/25/2021, 7:09:53 AM","[""172.20.144.1""]","success",1,"[""194.36.160.50""]","success",1,"[""194.36.160.50""]","[""194.36.160.50""]",1,"success"
3,0,"us_control_sample_nat","avert.org","http://www.avert.org/",0,"avert.org_0",1616670602763,240,"3/25/2021, 7:10:02 AM","[""172.20.144.1""]","success",1,"[""172.67.71.72"",""104.26.8.235"",""104.26.9.235""]","success",1,"[""172.67.71.72"",""104.26.8.235"",""104.26.9.235""]","[""172.67.71.72"",""104.26.8.235"",""104.26.9.235""]",1,"success"
4,0,"us_control_sample_nat","proxylisty.com","http://proxylisty.com/",0,"proxylisty.com_0",1616670613491,240,"3/25/2021, 7:10:13 AM","[""172.20.144.1""]","success",1,"[""45.77.186.199""]","success",1,"[""45.77.186.199""]","[""45.77.186.199""]",1,"success"
5,0,"us_control_sample_nat","aljazeera.net","http://www.aljazeera.net",0,"aljazeera.net_0",1616670623936,240,"3/25/2021, 7:10:23 AM","[""172.20.144.1""]","success",1,"[""13.48.205.10"",""13.53.128.5"",""13.49.103.61""]","success",1,"[""3.13.128.62"",""3.13.222.135"",""3.137.85.135""]","[""13.48.205.10"",""13.53.128.5"",""13.49.103.61"",""3.13.128.62"",""3.13.222.135"",""3.137.85.135""]",1,"success"
6,0,"us_control_sample_nat","bypasstool.gq","http://www.bypasstool.gq",0,"bypasstool.gq_0",1616670635197,240,"3/25/2021, 7:10:35 AM","[""172.20.144.1""]","success",1,"[""195.20.50.134""]","success",1,"[""195.20.50.134""]","[""195.20.50.134""]",1,"success"
7,0,"us_control_sample_nat","studies.aljazeera.net","http://studies.aljazeera.net/",0,"studies.aljazeera.net_0",1616670643074,240,"3/25/2021, 7:10:43 AM","[""172.20.144.1""]","success",1,"[""104.104.111.91""]","success",1,"[""104.104.111.91""]","[""104.104.111.91""]",1,"success"
8,0,"us_control_sample_nat","egybest.pw","http://egybest.pw",0,"egybest.pw_0",1616670653015,240,"3/25/2021, 7:10:53 AM","[""172.20.144.1""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","success",1,"[""172.67.157.163"",""104.21.8.181""]","[""104.21.8.181"",""172.67.157.163""]",1,"success"
9,0,"us_control_sample_nat","payu.in","http://payu.in",0,"payu.in_0",1616670662546,240,"3/25/2021, 7:11:02 AM","[""172.20.144.1""]","success",1,"[""13.232.230.23"",""65.1.34.99""]","success",1,"[""13.232.230.23"",""65.1.34.99""]","[""13.232.230.23"",""65.1.34.99""]",1,"success"
