experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"us_geneva_def","shahidlive.co","https://shahidlive.co/",0,"shahidlive.co_0",1616801896551,420,"3/26/2021, 4:38:16 PM","[""127.0.0.53""]","success",1,"[""212.179.121.131""]","success",1,"[""212.179.121.131""]","[""212.179.121.131""]",1,"success"
1,0,"us_geneva_def","katib.net","https://katib.net/",0,"katib.net_0",1616801912373,420,"3/26/2021, 4:38:32 PM","[""127.0.0.53""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",1,"success"
2,0,"us_geneva_def","dailysabah.com","https://www.dailysabah.com/",0,"dailysabah.com_0",1616801924581,420,"3/26/2021, 4:38:44 PM","[""127.0.0.53""]","success",1,"[""194.36.160.50""]","success",1,"[""194.36.160.50""]","[""194.36.160.50""]",1,"success"
3,0,"us_geneva_def","avert.org","http://www.avert.org/",0,"avert.org_0",1616801939031,420,"3/26/2021, 4:38:59 PM","[""127.0.0.53""]","success",1,"[""172.67.71.72"",""104.26.9.235"",""104.26.8.235""]","success",1,"[""104.26.8.235"",""172.67.71.72"",""104.26.9.235""]","[""172.67.71.72"",""104.26.9.235"",""104.26.8.235""]",1,"success"
4,0,"us_geneva_def","proxylisty.com","http://proxylisty.com/",0,"proxylisty.com_0",1616801950321,420,"3/26/2021, 4:39:10 PM","[""127.0.0.53""]","success",1,"[""45.77.186.199""]","success",1,"[""45.77.186.199""]","[""45.77.186.199""]",1,"success"
5,0,"us_geneva_def","aljazeera.net","http://www.aljazeera.net",0,"aljazeera.net_0",1616801960183,420,"3/26/2021, 4:39:20 PM","[""127.0.0.53""]","success",1,"[""3.13.222.135"",""3.137.85.135"",""3.13.128.62""]","success",1,"[""3.137.85.135"",""3.13.128.62"",""3.13.222.135""]","[""3.13.222.135"",""3.137.85.135"",""3.13.128.62""]",1,"success"
6,0,"us_geneva_def","bypasstool.gq","http://www.bypasstool.gq",0,"bypasstool.gq_0",1616801975542,420,"3/26/2021, 4:39:35 PM","[""127.0.0.53""]","success",1,"[""195.20.50.134""]","success",1,"[""195.20.50.134""]","[""195.20.50.134""]",1,"success"
7,0,"us_geneva_def","studies.aljazeera.net","http://studies.aljazeera.net/",0,"studies.aljazeera.net_0",1616801985617,420,"3/26/2021, 4:39:45 PM","[""127.0.0.53""]","success",1,"[""104.104.111.91""]","success",1,"[""104.104.111.91""]","[""104.104.111.91""]",1,"success"
8,0,"us_geneva_def","egybest.pw","http://egybest.pw",0,"egybest.pw_0",1616801996933,420,"3/26/2021, 4:39:56 PM","[""127.0.0.53""]","success",1,"[""172.67.157.163"",""104.21.8.181""]","success",1,"[""172.67.157.163"",""104.21.8.181""]","[""172.67.157.163"",""104.21.8.181""]",1,"success"
9,0,"us_geneva_def","payu.in","http://payu.in",0,"payu.in_0",1616802005869,420,"3/26/2021, 4:40:05 PM","[""127.0.0.53""]","success",1,"[""13.232.230.23"",""65.1.34.99""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","[""13.232.230.23"",""65.1.34.99""]",1,"success"
10,0,"us_geneva_def","tejaratnews.com","http://tejaratnews.com",0,"tejaratnews.com_0",1616802020566,420,"3/26/2021, 4:40:20 PM","[""127.0.0.53""]","success",1,"[""185.129.169.84""]","success",1,"[""185.129.169.84""]","[""185.129.169.84""]",1,"success"
11,0,"us_geneva_def","al-watan.com","http://al-watan.com/",0,"al-watan.com_0",1616802034453,420,"3/26/2021, 4:40:34 PM","[""127.0.0.53""]","success",1,"[""80.76.165.99""]","success",1,"[""80.76.165.99""]","[""80.76.165.99""]",1,"success"
12,0,"us_geneva_def","raya.com","https://www.raya.com/portal",0,"raya.com_0",1616802067568,420,"3/26/2021, 4:41:07 PM","[""127.0.0.53""]","success",1,"[""172.67.74.185"",""104.26.11.92"",""104.26.10.92""]","success",1,"[""104.26.11.92"",""172.67.74.185"",""104.26.10.92""]","[""172.67.74.185"",""104.26.11.92"",""104.26.10.92""]",1,"success"
