experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"us_intang_5","shahidlive.co","https://shahidlive.co/",0,"shahidlive.co_0",1616877693666,420,"3/27/2021, 1:41:33 PM","[""127.0.0.53""]","success",1,"[""212.179.121.131""]","success",1,"[""212.179.121.131""]","[""212.179.121.131""]",1,"success"
1,0,"us_intang_5","katib.net","https://katib.net/",0,"katib.net_0",1616877714791,420,"3/27/2021, 1:41:54 PM","[""127.0.0.53""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",1,"success"
2,0,"us_intang_5","dailysabah.com","https://www.dailysabah.com/",0,"dailysabah.com_0",1616877726180,420,"3/27/2021, 1:42:06 PM","[""127.0.0.53""]","success",1,"[""194.36.160.15""]","success",1,"[""194.36.160.50""]","[""194.36.160.15"",""194.36.160.50""]",1,"success"
3,0,"us_intang_5","avert.org","http://www.avert.org/",0,"avert.org_0",1616877741086,420,"3/27/2021, 1:42:21 PM","[""127.0.0.53""]","success",1,"[""104.26.8.235"",""104.26.9.235"",""172.67.71.72""]","success",1,"[""172.67.71.72"",""104.26.9.235"",""104.26.8.235""]","[""104.26.8.235"",""104.26.9.235"",""172.67.71.72""]",1,"success"
4,0,"us_intang_5","proxylisty.com","http://proxylisty.com/",0,"proxylisty.com_0",1616877751613,420,"3/27/2021, 1:42:31 PM","[""127.0.0.53""]","success",1,"[""45.77.186.199""]","success",1,"[""45.77.186.199""]","[""45.77.186.199""]",1,"success"
5,0,"us_intang_5","aljazeera.net","http://www.aljazeera.net",0,"aljazeera.net_0",1616877762736,420,"3/27/2021, 1:42:42 PM","[""127.0.0.53""]","success",1,"[""13.48.205.10"",""13.49.103.61"",""13.53.128.5""]","success",1,"[""3.13.222.135"",""3.13.128.62"",""3.137.85.135""]","[""13.48.205.10"",""13.49.103.61"",""13.53.128.5"",""3.13.222.135"",""3.13.128.62"",""3.137.85.135""]",1,"success"
6,0,"us_intang_5","bypasstool.gq","http://www.bypasstool.gq",0,"bypasstool.gq_0",1616877776716,420,"3/27/2021, 1:42:56 PM","[""127.0.0.53""]","success",1,"[""195.20.50.134""]","success",1,"[""195.20.50.134""]","[""195.20.50.134""]",1,"success"
7,0,"us_intang_5","studies.aljazeera.net","http://studies.aljazeera.net/",0,"studies.aljazeera.net_0",1616877786309,420,"3/27/2021, 1:43:06 PM","[""127.0.0.53""]","success",1,"[""104.104.111.91""]","success",1,"[""104.104.111.91""]","[""104.104.111.91""]",1,"success"
8,0,"us_intang_5","egybest.pw","http://egybest.pw",0,"egybest.pw_0",1616877797713,420,"3/27/2021, 1:43:17 PM","[""127.0.0.53""]","success",1,"[""172.67.157.163"",""104.21.8.181""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","[""172.67.157.163"",""104.21.8.181""]",1,"success"
9,0,"us_intang_5","payu.in","http://payu.in",0,"payu.in_0",1616877807702,420,"3/27/2021, 1:43:27 PM","[""127.0.0.53""]","success",1,"[""13.232.230.23"",""65.1.34.99""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","[""13.232.230.23"",""65.1.34.99""]",1,"success"
