experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"us_intang_def","shahidlive.co","https://shahidlive.co/",0,"shahidlive.co_0",1616715501988,420,"3/25/2021, 4:38:21 PM","[""127.0.0.53""]","success",1,"[""212.179.121.131""]","success",1,"[""212.179.121.131""]","[""212.179.121.131""]",0,"net::ERR_TIMED_OUT at https://shahidlive.co/"
1,0,"us_intang_def","katib.net","https://katib.net/",0,"katib.net_0",1616715539913,420,"3/25/2021, 4:38:59 PM","[""127.0.0.53""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",0,"net::ERR_TIMED_OUT at https://katib.net/"
2,0,"us_intang_def","dailysabah.com","https://www.dailysabah.com/",0,"dailysabah.com_0",1616715578048,420,"3/25/2021, 4:39:38 PM","[""127.0.0.53""]","success",1,"[""194.36.160.50""]","success",1,"[""194.36.160.15""]","[""194.36.160.50"",""194.36.160.15""]",0,"Navigation timeout of 60000 ms exceeded"
3,0,"us_intang_def","avert.org","http://www.avert.org/",0,"avert.org_0",1616715645228,420,"3/25/2021, 4:40:45 PM","[""127.0.0.53""]","success",1,"[""172.67.71.72"",""104.26.8.235"",""104.26.9.235""]","success",1,"[""172.67.71.72"",""104.26.8.235"",""104.26.9.235""]","[""172.67.71.72"",""104.26.8.235"",""104.26.9.235""]",1,"success"
4,0,"us_intang_def","proxylisty.com","http://proxylisty.com/",0,"proxylisty.com_0",1616715688844,420,"3/25/2021, 4:41:28 PM","[""127.0.0.53""]","success",1,"[""45.77.186.199""]","success",1,"[""45.77.186.199""]","[""45.77.186.199""]",0,"Navigation timeout of 60000 ms exceeded"
5,0,"us_intang_def","aljazeera.net","http://www.aljazeera.net",0,"aljazeera.net_0",1616715756608,420,"3/25/2021, 4:42:36 PM","[""127.0.0.53""]","success",1,"[""13.49.103.61"",""13.53.128.5"",""13.48.205.10""]","success",1,"[""3.13.222.135"",""3.137.85.135"",""3.13.128.62""]","[""13.49.103.61"",""13.53.128.5"",""13.48.205.10"",""3.13.222.135"",""3.137.85.135"",""3.13.128.62""]",0,"net::ERR_TIMED_OUT at http://www.aljazeera.net"
6,0,"us_intang_def","bypasstool.gq","http://www.bypasstool.gq",0,"bypasstool.gq_0",1616715795705,420,"3/25/2021, 4:43:15 PM","[""127.0.0.53""]","success",1,"[""195.20.50.134""]","success",1,"[""195.20.50.134""]","[""195.20.50.134""]",1,"success"
7,0,"us_intang_def","studies.aljazeera.net","http://studies.aljazeera.net/",0,"studies.aljazeera.net_0",1616715804310,420,"3/25/2021, 4:43:24 PM","[""127.0.0.53""]","success",1,"[""104.104.111.91""]","success",1,"[""104.104.111.91""]","[""104.104.111.91""]",0,"net::ERR_TIMED_OUT at http://studies.aljazeera.net/"
8,0,"us_intang_def","egybest.pw","http://egybest.pw",0,"egybest.pw_0",1616715843459,420,"3/25/2021, 4:44:03 PM","[""127.0.0.53""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","success",1,"[""172.67.157.163"",""104.21.8.181""]","[""104.21.8.181"",""172.67.157.163""]",1,"success"
9,0,"us_intang_def","payu.in","http://payu.in",0,"payu.in_0",1616715852290,420,"3/25/2021, 4:44:12 PM","[""127.0.0.53""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","[""65.1.34.99"",""13.232.230.23""]",1,"success"
10,0,"us_intang_def","tejaratnews.com","http://tejaratnews.com",0,"tejaratnews.com_0",1616715893367,420,"3/25/2021, 4:44:53 PM","[""127.0.0.53""]","success",1,"[""185.129.169.84""]","success",1,"[""185.129.169.84""]","[""185.129.169.84""]",1,"success"
11,0,"us_intang_def","al-watan.com","http://al-watan.com/",0,"al-watan.com_0",1616715937305,420,"3/25/2021, 4:45:37 PM","[""127.0.0.53""]","success",1,"[""80.76.165.99""]","success",1,"[""80.76.165.99""]","[""80.76.165.99""]",0,"net::ERR_TIMED_OUT at http://al-watan.com/"
12,0,"us_intang_def","raya.com","https://www.raya.com/portal",0,"raya.com_0",1616715977759,420,"3/25/2021, 4:46:17 PM","[""127.0.0.53""]","success",1,"[""172.67.74.185"",""104.26.11.92"",""104.26.10.92""]","success",1,"[""104.26.10.92"",""172.67.74.185"",""104.26.11.92""]","[""172.67.74.185"",""104.26.11.92"",""104.26.10.92""]",0,"Navigation timeout of 60000 ms exceeded"
13,0,"us_intang_def","raya.com","https://www.raya.com/",1,"raya.com_1",1616716043605,420,"3/25/2021, 4:47:23 PM","[""127.0.0.53""]","success",1,"[""104.26.10.92"",""104.26.11.92"",""172.67.74.185""]","success",1,"[""172.67.74.185"",""104.26.10.92"",""104.26.11.92""]","[""104.26.10.92"",""104.26.11.92"",""172.67.74.185""]",1,"success"
14,0,"us_intang_def","sasapost.com","https://sasapost.com/",0,"sasapost.com_0",1616716088207,420,"3/25/2021, 4:48:08 PM","[""127.0.0.53""]","success",1,"[""104.21.27.29"",""172.67.140.243""]","success",1,"[""104.21.27.29"",""172.67.140.243""]","[""104.21.27.29"",""172.67.140.243""]",0,"Navigation timeout of 60000 ms exceeded"
