experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"us_nordvpn","sexetc.org","https://sexetc.org/",0,"sexetc.org_0",1616413620202,240,"3/22/2021, 7:47:00 AM","[""172.27.64.1""]","queryA ETIMEOUT sexetc.org",0,"[]","success",1,"[""128.6.43.23""]","[""128.6.43.23""]",1,"success"
1,0,"us_nordvpn","betfair.com","http://www.betfair.com/",0,"betfair.com_0",1616413640499,240,"3/22/2021, 7:47:20 AM","[""172.27.64.1""]","queryA ETIMEOUT betfair.com",0,"[]","success",1,"[""104.16.117.30"",""104.16.118.30""]","[""104.16.117.30"",""104.16.118.30""]",1,"success"
2,0,"us_nordvpn","ninjaweb.xyz","http://www.ninjaweb.xyz",0,"ninjaweb.xyz_0",1616413660446,240,"3/22/2021, 7:47:40 AM","[""172.27.64.1""]","success",1,"[""104.21.235.141"",""104.21.235.142""]","success",1,"[""104.21.235.142"",""104.21.235.141""]","[""104.21.235.141"",""104.21.235.142""]",1,"success"
3,0,"us_nordvpn","perfect-privacy.com","http://www.perfect-privacy.com",0,"perfect-privacy.com_0",1616413670883,240,"3/22/2021, 7:47:50 AM","[""172.27.64.1""]","success",1,"[""31.204.150.153"",""31.204.150.121"",""37.48.94.55"",""31.204.152.232"",""31.204.153.210"",""31.204.153.87""]","success",1,"[""37.58.57.6"",""178.162.209.143"",""5.79.98.56"",""81.95.5.45"",""80.255.10.206"",""217.114.218.30""]","[""31.204.150.153"",""31.204.150.121"",""37.48.94.55"",""31.204.152.232"",""31.204.153.210"",""31.204.153.87"",""37.58.57.6"",""178.162.209.143"",""5.79.98.56"",""81.95.5.45"",""80.255.10.206"",""217.114.218.30""]",1,"success"
4,0,"us_nordvpn","google.com.tr","http://google.com.tr",0,"google.com.tr_0",1616413681628,240,"3/22/2021, 7:48:01 AM","[""172.27.64.1""]","success",1,"[""108.177.15.94""]","success",1,"[""172.217.169.35""]","[""108.177.15.94"",""172.217.169.35""]",1,"success"
5,0,"us_nordvpn","qalyubiagate.com","http://qalyubiagate.com",0,"qalyubiagate.com_0",1616413693086,240,"3/22/2021, 7:48:13 AM","[""172.27.64.1""]","success",1,"[""67.227.226.240""]","success",1,"[""67.227.226.240""]","[""67.227.226.240""]",1,"success"
6,0,"us_nordvpn","zensur.freerk.com","http://www.zensur.freerk.com/",0,"zensur.freerk.com_0",1616413705935,240,"3/22/2021, 7:48:25 AM","[""172.27.64.1""]","success",1,"[""85.13.141.98""]","success",1,"[""85.13.141.98""]","[""85.13.141.98""]",1,"success"
7,0,"us_nordvpn","esm3.com","https://www.esm3.com/",0,"esm3.com_0",1616413716517,240,"3/22/2021, 7:48:36 AM","[""172.27.64.1""]","success",1,"[""104.21.233.146"",""104.21.233.145""]","success",1,"[""104.21.233.146"",""104.21.233.145""]","[""104.21.233.146"",""104.21.233.145""]",1,"success"
8,0,"us_nordvpn","odaily.com","http://odaily.com",0,"odaily.com_0",1616413728798,240,"3/22/2021, 7:48:48 AM","[""172.27.64.1""]","success",1,"[""39.107.149.215""]","success",1,"[""39.107.149.215""]","[""39.107.149.215""]",1,"success"
9,0,"us_nordvpn","jihadwatch.org","https://www.jihadwatch.org/",0,"jihadwatch.org_0",1616413754957,240,"3/22/2021, 7:49:14 AM","[""172.27.64.1""]","queryA ETIMEOUT jihadwatch.org",0,"[]","success",1,"[""192.124.249.111""]","[""192.124.249.111""]",1,"success"
10,0,"us_nordvpn","stupidcensorship.com","http://www.stupidcensorship.com",0,"stupidcensorship.com_0",1616413772114,240,"3/22/2021, 7:49:32 AM","[""172.27.64.1""]","queryA ETIMEOUT stupidcensorship.com",0,"[]","success",1,"[""185.53.178.50""]","[""185.53.178.50""]",1,"success"
11,0,"us_nordvpn","my-proxy.com","http://www.my-proxy.com",0,"my-proxy.com_0",1616413787266,240,"3/22/2021, 7:49:47 AM","[""172.27.64.1""]","queryA ETIMEOUT my-proxy.com",0,"[]","success",1,"[""104.21.69.36"",""172.67.203.157""]","[""104.21.69.36"",""172.67.203.157""]",1,"success"
12,0,"us_nordvpn","bglad.com","http://www.bglad.com/",0,"bglad.com_0",1616413803451,240,"3/22/2021, 7:50:03 AM","[""172.27.64.1""]","queryA ETIMEOUT bglad.com",0,"[]","success",1,"[""204.8.234.161""]","[""204.8.234.161""]",1,"success"
13,0,"us_nordvpn","gamingday.com","http://www.gamingday.com/",0,"gamingday.com_0",1616413823737,240,"3/22/2021, 7:50:23 AM","[""172.27.64.1""]","queryA ETIMEOUT gamingday.com",0,"[]","success",1,"[""72.52.178.23""]","[""72.52.178.23""]",1,"success"
14,0,"us_nordvpn","cites.org","https://cites.org/",0,"cites.org_0",1616413841037,240,"3/22/2021, 7:50:41 AM","[""172.27.64.1""]","queryA ETIMEOUT cites.org",0,"[]","success",1,"[""104.22.47.86"",""104.22.46.86"",""172.67.25.202""]","[""104.22.47.86"",""104.22.46.86"",""172.67.25.202""]",1,"success"
15,0,"us_nordvpn","dcard.tw","http://dcard.tw",0,"dcard.tw_0",1616413858504,240,"3/22/2021, 7:50:58 AM","[""172.27.64.1""]","success",1,"[""104.16.105.87"",""104.16.204.58""]","success",1,"[""104.16.204.58"",""104.16.105.87""]","[""104.16.105.87"",""104.16.204.58""]",1,"success"
16,0,"us_nordvpn","6neek.com","https://www.6neek.com/",0,"6neek.com_0",1616413870866,240,"3/22/2021, 7:51:10 AM","[""172.27.64.1""]","success",1,"[""104.21.233.179"",""104.21.233.180""]","success",1,"[""104.21.233.179"",""104.21.233.180""]","[""104.21.233.179"",""104.21.233.180""]",1,"success"
17,0,"us_nordvpn","it168.com","http://it168.com",0,"it168.com_0",1616413882692,240,"3/22/2021, 7:51:22 AM","[""172.27.64.1""]","queryA ETIMEOUT it168.com",0,"[]","success",1,"[""42.62.98.171""]","[""42.62.98.171""]",1,"success"
18,0,"us_nordvpn","astalavista.box.sk","http://astalavista.box.sk/",0,"astalavista.box.sk_0",1616413917943,240,"3/22/2021, 7:51:57 AM","[""172.27.64.1""]","success",1,"[""88.212.29.3""]","success",1,"[""88.212.29.3""]","[""88.212.29.3""]",1,"success"
19,0,"us_nordvpn","onlybingo.com","http://onlybingo.com/",0,"onlybingo.com_0",1616413929679,240,"3/22/2021, 7:52:09 AM","[""172.27.64.1""]","queryA ETIMEOUT onlybingo.com",0,"[]","success",1,"[""169.62.32.252""]","[""169.62.32.252""]",1,"success"
20,0,"us_nordvpn","feminist.org","http://www.feminist.org/",0,"feminist.org_0",1616413944901,240,"3/22/2021, 7:52:24 AM","[""172.27.64.1""]","queryA ETIMEOUT feminist.org",0,"[]","success",1,"[""23.185.0.3""]","[""23.185.0.3""]",1,"success"
21,0,"us_nordvpn","godalone.org","http://www.godalone.org/",0,"godalone.org_0",1616413959787,240,"3/22/2021, 7:52:39 AM","[""172.27.64.1""]","queryA ETIMEOUT godalone.org",0,"[]","success",1,"[""184.168.131.241""]","[""184.168.131.241""]",1,"success"
22,0,"us_nordvpn","londonqueermuslims.com","https://londonqueermuslims.com/",0,"londonqueermuslims.com_0",1616413973173,240,"3/22/2021, 7:52:53 AM","[""172.27.64.1""]","queryA ETIMEOUT londonqueermuslims.com",0,"[]","success",1,"[""192.0.78.25"",""192.0.78.24""]","[""192.0.78.25"",""192.0.78.24""]",1,"success"
23,0,"us_nordvpn","video.twimg.com","https://video.twimg.com/",0,"video.twimg.com_0",1616413990058,240,"3/22/2021, 7:53:10 AM","[""172.27.64.1""]","success",1,"[""184.31.10.236""]","success",1,"[""68.232.34.217""]","[""184.31.10.236"",""68.232.34.217""]",1,"success"
24,0,"us_nordvpn","epic.org","https://epic.org/",0,"epic.org_0",1616413999491,240,"3/22/2021, 7:53:19 AM","[""172.27.64.1""]","queryA ETIMEOUT epic.org",0,"[]","success",1,"[""66.39.149.49""]","[""66.39.149.49""]",1,"success"
25,0,"us_nordvpn","trendyol.com","http://trendyol.com",0,"trendyol.com_0",1616414015878,240,"3/22/2021, 7:53:35 AM","[""172.27.64.1""]","queryA ETIMEOUT trendyol.com",0,"[]","success",1,"[""104.18.229.238"",""104.18.228.238""]","[""104.18.229.238"",""104.18.228.238""]",1,"success"
26,0,"us_nordvpn","ushmm.org","https://www.ushmm.org/",0,"ushmm.org_0",1616414034256,240,"3/22/2021, 7:53:54 AM","[""172.27.64.1""]","queryA ETIMEOUT ushmm.org",0,"[]","success",1,"[""159.63.132.30""]","[""159.63.132.30""]",1,"success"
27,0,"us_nordvpn","afterellen.com","http://www.afterellen.com/",0,"afterellen.com_0",1616414054968,240,"3/22/2021, 7:54:14 AM","[""172.27.64.1""]","queryA ETIMEOUT afterellen.com",0,"[]","success",1,"[""104.26.11.213"",""104.26.10.213"",""172.67.73.173""]","[""104.26.11.213"",""104.26.10.213"",""172.67.73.173""]",1,"success"
28,0,"us_nordvpn","angryharry.com","http://www.angryharry.com/",0,"angryharry.com_0",1616414082842,240,"3/22/2021, 7:54:42 AM","[""172.27.64.1""]","queryA ETIMEOUT angryharry.com",0,"[]","success",1,"[""104.21.57.5"",""172.67.139.93""]","[""104.21.57.5"",""172.67.139.93""]",1,"success"
29,0,"us_nordvpn","opera.com","https://opera.com/",0,"opera.com_0",1616414100264,240,"3/22/2021, 7:55:00 AM","[""172.27.64.1""]","success",1,"[""37.228.108.136"",""37.228.108.137""]","success",1,"[""37.228.108.136"",""37.228.108.137""]","[""37.228.108.136"",""37.228.108.137""]",1,"success"
30,0,"us_nordvpn","buqd.xyz","http://www.buqd.xyz",0,"buqd.xyz_0",1616414113434,240,"3/22/2021, 7:55:13 AM","[""172.27.64.1""]","queryA ETIMEOUT buqd.xyz",0,"[]","success",1,"[""52.196.104.83"",""54.199.231.28""]","[""52.196.104.83"",""54.199.231.28""]",1,"success"
31,0,"us_nordvpn","freshannouncement.com","http://freshannouncement.com",0,"freshannouncement.com_0",1616414132541,240,"3/22/2021, 7:55:32 AM","[""172.27.64.1""]","queryA ETIMEOUT freshannouncement.com",0,"[]","success",1,"[""139.45.197.167""]","[""139.45.197.167""]",1,"success"
32,0,"us_nordvpn","protectionline.org","http://protectionline.org/",0,"protectionline.org_0",1616414147264,240,"3/22/2021, 7:55:47 AM","[""172.27.64.1""]","queryA ETIMEOUT protectionline.org",0,"[]","success",1,"[""217.70.184.55""]","[""217.70.184.55""]",1,"success"
33,0,"us_nordvpn","ecwronline.org","http://ecwronline.org/",0,"ecwronline.org_0",1616414161804,240,"3/22/2021, 7:56:01 AM","[""172.27.64.1""]","queryA ETIMEOUT ecwronline.org",0,"[]","success",1,"[""162.241.225.108""]","[""162.241.225.108""]",1,"success"
34,0,"us_nordvpn","duckduckgo.com","https://duckduckgo.com/",0,"duckduckgo.com_0",1616414181431,240,"3/22/2021, 7:56:21 AM","[""172.27.64.1""]","queryA ETIMEOUT duckduckgo.com",0,"[]","success",1,"[""52.142.124.215""]","[""52.142.124.215""]",1,"success"
