experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"us_tor","shahidlive.co","https://shahidlive.co/",0,"shahidlive.co_0",1616755410990,420,"3/26/2021, 3:43:30 AM","[""127.0.0.53""]","success",1,"[""212.179.121.131""]","success",1,"[""212.179.121.131""]","[""212.179.121.131""]",1,"success"
1,0,"us_tor","katib.net","https://katib.net/",0,"katib.net_0",1616755433904,420,"3/26/2021, 3:43:53 AM","[""127.0.0.53""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",1,"success"
2,0,"us_tor","dailysabah.com","https://www.dailysabah.com/",0,"dailysabah.com_0",1616755454993,420,"3/26/2021, 3:44:14 AM","[""127.0.0.53""]","success",1,"[""194.36.160.15""]","success",1,"[""194.36.160.15""]","[""194.36.160.15""]",1,"success"
3,0,"us_tor","avert.org","http://www.avert.org/",0,"avert.org_0",1616755475442,420,"3/26/2021, 3:44:35 AM","[""127.0.0.53""]","success",1,"[""104.26.9.235"",""104.26.8.235"",""172.67.71.72""]","success",1,"[""104.26.9.235"",""172.67.71.72"",""104.26.8.235""]","[""104.26.9.235"",""104.26.8.235"",""172.67.71.72""]",1,"success"
4,0,"us_tor","proxylisty.com","http://proxylisty.com/",0,"proxylisty.com_0",1616755488272,420,"3/26/2021, 3:44:48 AM","[""127.0.0.53""]","success",1,"[""45.77.186.199""]","success",1,"[""45.77.186.199""]","[""45.77.186.199""]",1,"success"
5,0,"us_tor","aljazeera.net","http://www.aljazeera.net",0,"aljazeera.net_0",1616755506296,420,"3/26/2021, 3:45:06 AM","[""127.0.0.53""]","success",1,"[""13.53.128.5"",""13.48.205.10"",""13.49.103.61""]","success",1,"[""13.48.205.10"",""13.49.103.61"",""13.53.128.5""]","[""13.53.128.5"",""13.48.205.10"",""13.49.103.61""]",1,"success"
6,0,"us_tor","bypasstool.gq","http://www.bypasstool.gq",0,"bypasstool.gq_0",1616755530106,420,"3/26/2021, 3:45:30 AM","[""127.0.0.53""]","success",1,"[""195.20.50.134""]","success",1,"[""195.20.50.134""]","[""195.20.50.134""]",1,"success"
7,0,"us_tor","studies.aljazeera.net","http://studies.aljazeera.net/",0,"studies.aljazeera.net_0",1616755540480,420,"3/26/2021, 3:45:40 AM","[""127.0.0.53""]","success",1,"[""104.104.111.91""]","success",1,"[""104.104.111.91""]","[""104.104.111.91""]",1,"success"
8,0,"us_tor","egybest.pw","http://egybest.pw",0,"egybest.pw_0",1616755575359,420,"3/26/2021, 3:46:15 AM","[""127.0.0.53""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","[""104.21.8.181"",""172.67.157.163""]",1,"success"
9,0,"us_tor","payu.in","http://payu.in",0,"payu.in_0",1616755589735,420,"3/26/2021, 3:46:29 AM","[""127.0.0.53""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","success",1,"[""13.232.230.23"",""65.1.34.99""]","[""65.1.34.99"",""13.232.230.23""]",1,"success"
10,0,"us_tor","tejaratnews.com","http://tejaratnews.com",0,"tejaratnews.com_0",1616755622836,420,"3/26/2021, 3:47:02 AM","[""127.0.0.53""]","success",1,"[""185.129.169.84""]","success",1,"[""185.129.169.84""]","[""185.129.169.84""]",1,"success"
11,0,"us_tor","al-watan.com","http://al-watan.com/",0,"al-watan.com_0",1616755640940,420,"3/26/2021, 3:47:20 AM","[""127.0.0.53""]","success",1,"[""80.76.165.99""]","success",1,"[""80.76.165.99""]","[""80.76.165.99""]",1,"success"
12,0,"us_tor","raya.com","https://www.raya.com/portal",0,"raya.com_0",1616755682752,420,"3/26/2021, 3:48:02 AM","[""127.0.0.53""]","success",1,"[""104.26.10.92"",""104.26.11.92"",""172.67.74.185""]","success",1,"[""172.67.74.185"",""104.26.10.92"",""104.26.11.92""]","[""104.26.10.92"",""104.26.11.92"",""172.67.74.185""]",1,"success"
13,0,"us_tor","raya.com","https://www.raya.com/",1,"raya.com_1",1616755696914,420,"3/26/2021, 3:48:16 AM","[""127.0.0.53""]","success",1,"[""172.67.74.185"",""104.26.11.92"",""104.26.10.92""]","success",1,"[""172.67.74.185"",""104.26.11.92"",""104.26.10.92""]","[""172.67.74.185"",""104.26.11.92"",""104.26.10.92""]",1,"success"
14,0,"us_tor","sasapost.com","https://sasapost.com/",0,"sasapost.com_0",1616755710376,420,"3/26/2021, 3:48:30 AM","[""127.0.0.53""]","success",1,"[""172.67.140.243"",""104.21.27.29""]","success",1,"[""104.21.27.29"",""172.67.140.243""]","[""172.67.140.243"",""104.21.27.29""]",1,"success"
15,0,"us_tor","yanairgate.net","http://yanairgate.net/",0,"yanairgate.net_0",1616755724612,420,"3/26/2021, 3:48:44 AM","[""127.0.0.53""]","success",1,"[""3.13.31.214""]","success",1,"[""3.13.31.214""]","[""3.13.31.214""]",1,"success"
16,0,"us_tor","akproxy.gq","http://www.akproxy.gq",0,"akproxy.gq_0",1616755738268,420,"3/26/2021, 3:48:58 AM","[""127.0.0.53""]","success",1,"[""195.20.52.148""]","success",1,"[""195.20.52.148""]","[""195.20.52.148""]",1,"success"
17,0,"us_tor","ikhwanonline.com","http://www.ikhwanonline.com",0,"ikhwanonline.com_0",1616755766702,420,"3/26/2021, 3:49:26 AM","[""127.0.0.53""]","success",1,"[""172.67.152.47"",""104.21.88.190""]","success",1,"[""104.21.88.190"",""172.67.152.47""]","[""172.67.152.47"",""104.21.88.190""]",1,"success"
18,0,"us_tor","de.lirio.us","http://de.lirio.us/",0,"de.lirio.us_0",1616755784319,420,"3/26/2021, 3:49:44 AM","[""127.0.0.53""]","success",1,"[""37.48.65.136""]","success",1,"[""37.48.65.136""]","[""37.48.65.136""]",1,"success"
19,0,"us_tor","al-akhbar.com","https://al-akhbar.com/",0,"al-akhbar.com_0",1616755792997,420,"3/26/2021, 3:49:52 AM","[""127.0.0.53""]","success",1,"[""172.67.75.16"",""104.26.2.184"",""104.26.3.184""]","success",1,"[""172.67.75.16"",""104.26.3.184"",""104.26.2.184""]","[""172.67.75.16"",""104.26.2.184"",""104.26.3.184""]",1,"success"
20,0,"us_tor","ipvanish.com","https://www.ipvanish.com/",0,"ipvanish.com_0",1616755809363,420,"3/26/2021, 3:50:09 AM","[""127.0.0.53""]","success",1,"[""151.101.130.133"",""151.101.194.133"",""151.101.2.133"",""151.101.66.133""]","success",1,"[""151.101.130.133"",""151.101.194.133"",""151.101.66.133"",""151.101.2.133""]","[""151.101.130.133"",""151.101.194.133"",""151.101.2.133"",""151.101.66.133""]",1,"success"
21,0,"us_tor","ampproject.org","https://www.ampproject.org/",0,"ampproject.org_0",1616755833624,420,"3/26/2021, 3:50:33 AM","[""127.0.0.53""]","success",1,"[""172.217.10.142""]","success",1,"[""172.217.10.142""]","[""172.217.10.142""]",1,"success"
22,0,"us_tor","thenewkhalij.org","http://thenewkhalij.org",0,"thenewkhalij.org_0",1616755859792,420,"3/26/2021, 3:50:59 AM","[""127.0.0.53""]","success",1,"[""172.67.211.234"",""104.21.77.219""]","success",1,"[""104.21.77.219"",""172.67.211.234""]","[""172.67.211.234"",""104.21.77.219""]",1,"success"
23,0,"us_tor","shadowsocks.org","https://shadowsocks.org/",0,"shadowsocks.org_0",1616755876069,420,"3/26/2021, 3:51:16 AM","[""127.0.0.53""]","success",1,"[""104.21.21.10"",""172.67.195.168""]","success",1,"[""104.21.21.10"",""172.67.195.168""]","[""104.21.21.10"",""172.67.195.168""]",1,"success"
24,0,"us_tor","masr11.com","https://www.masr11.com/",0,"masr11.com_0",1616755889356,420,"3/26/2021, 3:51:29 AM","[""127.0.0.53""]","success",1,"[""104.21.55.125"",""172.67.148.28""]","success",1,"[""172.67.148.28"",""104.21.55.125""]","[""104.21.55.125"",""172.67.148.28""]",1,"success"
25,0,"us_tor","cencos.org","http://cencos.org/",0,"cencos.org_0",1616755905237,420,"3/26/2021, 3:51:45 AM","[""127.0.0.53""]","success",1,"[""159.203.8.241""]","success",1,"[""159.203.8.241""]","[""159.203.8.241""]",1,"success"
