experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"us_vpn_std_nat","shahidlive.co","https://shahidlive.co/",0,"shahidlive.co_0",1616749307754,420,"3/26/2021, 2:01:47 AM","[""127.0.0.53""]","success",1,"[""212.179.121.131""]","success",1,"[""212.179.121.131""]","[""212.179.121.131""]",1,"success"
1,0,"us_vpn_std_nat","katib.net","https://katib.net/",0,"katib.net_0",1616749320636,420,"3/26/2021, 2:02:00 AM","[""127.0.0.53""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",1,"success"
2,0,"us_vpn_std_nat","dailysabah.com","https://www.dailysabah.com/",0,"dailysabah.com_0",1616749330463,420,"3/26/2021, 2:02:10 AM","[""127.0.0.53""]","success",1,"[""194.36.160.15""]","success",1,"[""194.36.160.15""]","[""194.36.160.15""]",1,"success"
3,0,"us_vpn_std_nat","avert.org","http://www.avert.org/",0,"avert.org_0",1616749342360,420,"3/26/2021, 2:02:22 AM","[""127.0.0.53""]","success",1,"[""104.26.8.235""]","success",1,"[""104.26.8.235""]","[""104.26.8.235""]",1,"success"
4,0,"us_vpn_std_nat","proxylisty.com","http://proxylisty.com/",0,"proxylisty.com_0",1616749353795,420,"3/26/2021, 2:02:33 AM","[""127.0.0.53""]","success",1,"[""45.77.186.199""]","success",1,"[""45.77.186.199""]","[""45.77.186.199""]",1,"success"
5,0,"us_vpn_std_nat","aljazeera.net","http://www.aljazeera.net",0,"aljazeera.net_0",1616749366903,420,"3/26/2021, 2:02:46 AM","[""127.0.0.53""]","success",1,"[""3.13.222.135""]","success",1,"[""3.13.222.135""]","[""3.13.222.135""]",1,"success"
6,0,"us_vpn_std_nat","bypasstool.gq","http://www.bypasstool.gq",0,"bypasstool.gq_0",1616749378313,420,"3/26/2021, 2:02:58 AM","[""127.0.0.53""]","success",1,"[""195.20.50.134""]","success",1,"[""195.20.50.134""]","[""195.20.50.134""]",1,"success"
7,0,"us_vpn_std_nat","studies.aljazeera.net","http://studies.aljazeera.net/",0,"studies.aljazeera.net_0",1616749388144,420,"3/26/2021, 2:03:08 AM","[""127.0.0.53""]","success",1,"[""23.64.100.232""]","success",1,"[""23.64.100.232""]","[""23.64.100.232""]",1,"success"
8,0,"us_vpn_std_nat","egybest.pw","http://egybest.pw",0,"egybest.pw_0",1616749397657,420,"3/26/2021, 2:03:17 AM","[""127.0.0.53""]","success",1,"[""172.67.157.163""]","success",1,"[""172.67.157.163""]","[""172.67.157.163""]",1,"success"
9,0,"us_vpn_std_nat","payu.in","http://payu.in",0,"payu.in_0",1616749406006,420,"3/26/2021, 2:03:26 AM","[""127.0.0.53""]","success",1,"[""13.232.230.23""]","success",1,"[""13.232.230.23""]","[""13.232.230.23""]",1,"success"
10,0,"us_vpn_std_nat","tejaratnews.com","http://tejaratnews.com",0,"tejaratnews.com_0",1616749416816,420,"3/26/2021, 2:03:36 AM","[""127.0.0.53""]","success",1,"[""185.129.169.84""]","success",1,"[""185.129.169.84""]","[""185.129.169.84""]",1,"success"
11,0,"us_vpn_std_nat","al-watan.com","http://al-watan.com/",0,"al-watan.com_0",1616749481202,420,"3/26/2021, 2:04:41 AM","[""127.0.0.53""]","success",1,"[""80.76.165.99""]","success",1,"[""80.76.165.99""]","[""80.76.165.99""]",1,"success"
12,0,"us_vpn_std_nat","raya.com","https://www.raya.com/portal",0,"raya.com_0",1616749500942,420,"3/26/2021, 2:05:00 AM","[""127.0.0.53""]","success",1,"[""172.67.74.185""]","success",1,"[""172.67.74.185""]","[""172.67.74.185""]",1,"success"
13,0,"us_vpn_std_nat","raya.com","https://www.raya.com/",1,"raya.com_1",1616749516050,420,"3/26/2021, 2:05:16 AM","[""127.0.0.53""]","success",1,"[""172.67.74.185""]","success",1,"[""172.67.74.185""]","[""172.67.74.185""]",1,"success"
14,0,"us_vpn_std_nat","sasapost.com","https://sasapost.com/",0,"sasapost.com_0",1616749530443,420,"3/26/2021, 2:05:30 AM","[""127.0.0.53""]","success",1,"[""172.67.140.243""]","success",1,"[""172.67.140.243""]","[""172.67.140.243""]",1,"success"
15,0,"us_vpn_std_nat","yanairgate.net","http://yanairgate.net/",0,"yanairgate.net_0",1616749542188,420,"3/26/2021, 2:05:42 AM","[""127.0.0.53""]","success",1,"[""3.13.31.214""]","success",1,"[""3.13.31.214""]","[""3.13.31.214""]",1,"success"
16,0,"us_vpn_std_nat","akproxy.gq","http://www.akproxy.gq",0,"akproxy.gq_0",1616749551600,420,"3/26/2021, 2:05:51 AM","[""127.0.0.53""]","success",1,"[""195.20.52.148""]","success",1,"[""195.20.52.148""]","[""195.20.52.148""]",1,"success"
17,0,"us_vpn_std_nat","ikhwanonline.com","http://www.ikhwanonline.com",0,"ikhwanonline.com_0",1616749562905,420,"3/26/2021, 2:06:02 AM","[""127.0.0.53""]","success",1,"[""104.21.88.190""]","success",1,"[""104.21.88.190""]","[""104.21.88.190""]",1,"success"
18,0,"us_vpn_std_nat","de.lirio.us","http://de.lirio.us/",0,"de.lirio.us_0",1616749573600,420,"3/26/2021, 2:06:13 AM","[""127.0.0.53""]","success",1,"[""185.107.56.195""]","success",1,"[""185.107.56.195""]","[""185.107.56.195""]",1,"success"
19,0,"us_vpn_std_nat","al-akhbar.com","https://al-akhbar.com/",0,"al-akhbar.com_0",1616749583954,420,"3/26/2021, 2:06:23 AM","[""127.0.0.53""]","success",1,"[""104.26.3.184""]","success",1,"[""104.26.3.184""]","[""104.26.3.184""]",1,"success"
20,0,"us_vpn_std_nat","ipvanish.com","https://www.ipvanish.com/",0,"ipvanish.com_0",1616749596937,420,"3/26/2021, 2:06:36 AM","[""127.0.0.53""]","success",1,"[""151.101.194.133""]","success",1,"[""151.101.194.133""]","[""151.101.194.133""]",1,"success"
21,0,"us_vpn_std_nat","ampproject.org","https://www.ampproject.org/",0,"ampproject.org_0",1616749606048,420,"3/26/2021, 2:06:46 AM","[""127.0.0.53""]","success",1,"[""172.217.10.110""]","success",1,"[""172.217.10.110""]","[""172.217.10.110""]",1,"success"
22,0,"us_vpn_std_nat","thenewkhalij.org","http://thenewkhalij.org",0,"thenewkhalij.org_0",1616749617401,420,"3/26/2021, 2:06:57 AM","[""127.0.0.53""]","success",1,"[""172.67.211.234""]","success",1,"[""172.67.211.234""]","[""172.67.211.234""]",1,"success"
23,0,"us_vpn_std_nat","shadowsocks.org","https://shadowsocks.org/",0,"shadowsocks.org_0",1616749628427,420,"3/26/2021, 2:07:08 AM","[""127.0.0.53""]","success",1,"[""172.67.195.168""]","success",1,"[""172.67.195.168""]","[""172.67.195.168""]",1,"success"
24,0,"us_vpn_std_nat","masr11.com","https://www.masr11.com/",0,"masr11.com_0",1616749637052,420,"3/26/2021, 2:07:17 AM","[""127.0.0.53""]","success",1,"[""172.67.148.28""]","success",1,"[""172.67.148.28""]","[""172.67.148.28""]",1,"success"
