,irtt_avg,irtt_weighted_avg_per_stream,irtt_weighted_avg_per_packet,ack_rtt_avg,ack_rtt_weighted_avg_per_stream,ack_rtt_weighted_avg_per_packet,weighted_ack_rtt_avg,weighted_ack_rtt_weighted_avg_per_stream,weighted_ack_rtt_weighted_avg_per_packet,crude_latency,ack_rtt_total_avg,ack_rtt_big_avg
control_sample_nat,0.0948018291064245,0.09810025224156328,0.09710141853396827,0.0810793739846111,0.06088885423525584,0.05749596235027864,0.05601785188783568,0.03593751477215628,0.0297994661739007,5.337056944926867,0.024930337152989757,0.012892119974190694
control_sample_bridged,0.08595690990033726,0.08637962881391133,0.08501354642231815,0.04447951592629072,0.04360872287560369,0.0417182091256032,0.03775465029617307,0.02841398957773749,0.0245371244300582,4.517532665595464,0.018318059960875037,0.011742783181833881
geneva_def,0.132599926954395,0.21372438091555704,0.2072672234169879,0.08517249999870512,0.13157658995003824,0.13183792867263383,0.12067408840611395,0.1696746019118684,0.19165516173209052,4.420469842982089,0.045182408398062555,0.07126716148955753
intang_4,0.058051643038864086,0.07255141090856346,0.07160868099408259,0.05472721947483849,0.08410544199375077,0.07939293802789386,0.05308445372499357,0.0638972503552404,0.05894703816799937,3.7833890454895163,0.00755084923911422,0.015525807864166652
intang_def,0.08880054409519492,0.14331159336376043,0.1368987169063182,0.0765591287689491,0.13776570358251747,0.12414531675820238,0.05881729892967718,0.09249182636672997,0.08187354304004762,3.473013155836092,0.017401701246679842,0.025035012432891895
nordvpn_obfs_bridged,0.10696536768281749,0.10713164520159701,0.10941632724406632,0.04972338028186026,0.07011695007623886,0.059959384252286314,0.028483419813975234,0.03599899050547942,0.02402777892632819,5.373582399519635,0.012916622593449176,0.010137430565621648
vpn_std_nat,0.001582851185226789,0.0009975396053923953,0.0009898240344797698,0.019836010443270657,0.008511843999109892,0.002516106224894881,0.006611253150807951,0.0030395964310719506,0.0010802238512952812,5.166500668155355,0.0011484925547669122,0.0002980214335541581
tor,0.13907574557843136,0.03461247817607527,0.06318884468631733,0.05590881214487238,0.054697288018251494,0.05799046316641585,0.05674598971316146,0.055353487436225764,0.0552501956087463,3.2335345492218477,0.032364985283847625,0.030565293196506554
torbrowser,0.1563067079090909,0.1563067079090909,0.15627069362499998,0.07667619010000001,0.07667619010000001,0.07682580200505952,0.07667619010000001,0.07667619010000001,0.07682580200505952,0.4599937742406672,0.04459409251974288,0.04462052845535714
cloudflare,0.07260387164295946,0.07112176378990559,0.07493099262503376,0.035948929132035616,0.032620602399357254,0.025858512909594226,0.03225633514761144,0.023068166790038026,0.015585011857940697,4.6451562828331125,0.014811532183600531,0.007589223451321716
geneva+cloudflare,0.13501197880636837,0.19192256672753688,0.20184835100615575,0.08259052777176189,0.11456008377522255,0.12595147341027046,0.10941090597372008,0.14362695047937699,0.17258346967305793,6.501364823414241,0.04100695239036208,0.06402123111253594
