,irtt_avg,irtt_weighted_avg_per_stream,irtt_weighted_avg_per_packet,ack_rtt_avg,ack_rtt_weighted_avg_per_stream,ack_rtt_weighted_avg_per_packet,weighted_ack_rtt_avg,weighted_ack_rtt_weighted_avg_per_stream,weighted_ack_rtt_weighted_avg_per_packet,crude_latency
control_sample_nat,0.018137777494341627,0.017910644935272783,0.016697561197349994,0.009396734411249967,0.010038430874067611,0.008919542024586075,0.007787480676346066,0.00793069327899988,0.00659634479510813,3.365369869281789
control_sample_bridged,0.01846684338121965,0.017864965170481563,0.017953543333907647,0.01170547192015038,0.01007529338626952,0.009588960569323419,0.009249679439502797,0.008191481069979278,0.007581632641447125,2.4424407594848305
geneva_def,0.03794985821316071,0.07588677112113285,0.07246551840402693,0.026881176009444462,0.047883404492133956,0.04764345076285093,0.05168840908948622,0.06954214030864529,0.08834460619883644,2.897105988685209
intang_4,0.025202904408047334,0.04962837018839992,0.04226959013548862,0.020086080139576454,0.04413728850134962,0.0353026905662887,0.01392357113139859,0.03118389843328822,0.02435009350969787,1.7128035670974326
intang_def,0.03545374296408759,0.09596323057527012,0.053425105460245335,0.024422555238823123,0.07823897068321103,0.0415435312079041,0.019474102825084716,0.06486592386654547,0.03524169718808956,3.097886765963351
nordvpn_obfs_bridged,0.08844941128999087,0.09451371573681049,0.08965346835346215,0.04082722929025338,0.07191351781634298,0.05025656982739932,0.023593270079912024,0.03660797910912061,0.02101237819204883,4.696455232528917
vpn_std_nat,0.0005825572620486392,0.0005676077760259636,0.0005761091657052238,0.0003216359683170193,0.00048614773836319207,0.00040066918818514247,0.00032995754144219894,0.0004598987342833212,0.000377760694657342,4.497601970229856
tor,0.0047209210969120004,0.005708767778760013,0.008048822795643886,0.012785994171304155,0.012225568396612358,0.01208368524171999,0.010024547595088291,0.009587368865684495,0.009098997138069652,1.3656354140641944
torbrowser,0.00541695701804802,0.005821817642388172,0.006111898096026427,0.01732814890129964,0.015788964257334188,0.014714106895608666,0.02783830581076615,0.02578814380414434,0.020069452909901902,3.584525169153796
cloudflare,0.023403324102405997,0.03931346858864411,0.03280089252387123,0.017064342101211046,0.035209010859686925,0.027288819482987666,0.01282017761102917,0.02476105348718033,0.019068364174698843,1.938453965084315
